CelebrityName,Season,Week,RuleType,JudgeScore,JudgeScore_Normalization,Possible_Audience_Vote_Range,Predicted_Audience_Percent,Predicted_Audience_Rank,Loss_Total,Loss_Constraint,Loss_Smooth,Loss_Corr,Loss_Reg,Status
Melissa Rycroft,8,2,Percent,26.0,9.8%,0.0%-97.7%,10.754103660583496,2.0,0.024840297480113804,8.05604868219234e-05,0.0,0.002689838409423828,0.026176033541560173,Safe
Gilles Marini,8,3,Percent,27.0,10.6%,0.0%-97.2%,9.768267631530762,1.0,0.016451762849465014,0.0001233020011568442,0.0,0.0004898905754089355,0.010162853635847569,Safe
Denise Richards,8,3,Percent,16.0,6.3%,0.0%-10.4%,6.939887046813965,7.0,0.016451762849465014,0.0001233020011568442,0.0,0.0004898905754089355,0.010162853635847569,Eliminated (Place 12)
David Alan Grier,8,3,Percent,24.0,9.4%,0.0%-97.2%,9.039318084716797,3.0,0.016451762849465014,0.0001233020011568442,0.0,0.0004898905754089355,0.010162853635847569,Safe
Lawrence Taylor,8,3,Percent,20.0,7.9%,0.0%-97.2%,8.055246353149414,5.0,0.016451762849465014,0.0001233020011568442,0.0,0.0004898905754089355,0.010162853635847569,Safe
Ty Murray,8,3,Percent,23.0,9.1%,0.0%-97.2%,8.794050216674805,4.0,0.016451762849465014,0.0001233020011568442,0.0,0.0004898905754089355,0.010162853635847569,Safe
Shawn Johnson,8,3,Percent,27.0,10.6%,0.0%-97.2%,9.768267631530762,1.0,0.016451762849465014,0.0001233020011568442,0.0,0.0004898905754089355,0.010162853635847569,Safe
Steve Wozniak,8,3,Percent,10.0,3.9%,2.4%-99.6%,5.653218746185303,9.0,0.016451762849465014,0.0001233020011568442,0.0,0.0004898905754089355,0.010162853635847569,Safe
Chuck Wicks,8,3,Percent,23.0,9.1%,0.0%-97.2%,8.794050216674805,4.0,0.016451762849465014,0.0001233020011568442,0.0,0.0004898905754089355,0.010162853635847569,Safe
Lil' Kim,8,3,Percent,25.0,9.8%,0.0%-97.2%,9.272429466247559,2.0,0.016451762849465014,0.0001233020011568442,0.0,0.0004898905754089355,0.010162853635847569,Safe
Steve-O,8,3,Percent,15.0,5.9%,0.4%-97.6%,6.834652423858643,8.0,0.016451762849465014,0.0001233020011568442,0.0,0.0004898905754089355,0.010162853635847569,Safe
Holly Madison,8,3,Percent,17.0,6.7%,0.0%-97.2%,7.312332630157471,6.0,0.016451762849465014,0.0001233020011568442,0.0,0.0004898905754089355,0.010162853635847569,Safe
Melissa Rycroft,8,3,Percent,27.0,10.6%,0.0%-97.2%,9.768267631530762,1.0,0.016451762849465014,0.0001233020011568442,0.0,0.0004898905754089355,0.010162853635847569,Safe
Gilles Marini,8,4,Percent,30.0,12.4%,0.0%-99.6%,12.060352325439453,1.0,0.013442372126155533,2.9962366170366295e-06,0.0,9.584426879882812e-05,0.021844714879989624,Safe
David Alan Grier,8,4,Percent,22.0,9.1%,0.0%-99.6%,9.12228012084961,5.0,0.013442372126155533,2.9962366170366295e-06,0.0,9.584426879882812e-05,0.021844714879989624,Safe
Lawrence Taylor,8,4,Percent,19.0,7.9%,0.0%-99.6%,7.967495918273926,6.0,0.013442372126155533,2.9962366170366295e-06,0.0,9.584426879882812e-05,0.021844714879989624,Safe
Ty Murray,8,4,Percent,25.0,10.3%,0.0%-99.6%,10.187300682067871,4.0,0.013442372126155533,2.9962366170366295e-06,0.0,9.584426879882812e-05,0.021844714879989624,Safe
Shawn Johnson,8,4,Percent,25.0,10.3%,0.0%-99.6%,10.187300682067871,4.0,0.013442372126155533,2.9962366170366295e-06,0.0,9.584426879882812e-05,0.021844714879989624,Safe
Steve Wozniak,8,4,Percent,12.0,5.0%,0.0%-14.4%,5.342738151550293,9.0,0.013442372126155533,2.9962366170366295e-06,0.0,9.584426879882812e-05,0.021844714879989624,Eliminated (Place 10)
Chuck Wicks,8,4,Percent,22.0,9.1%,0.0%-99.6%,9.12228012084961,5.0,0.013442372126155533,2.9962366170366295e-06,0.0,9.584426879882812e-05,0.021844714879989624,Safe
Lil' Kim,8,4,Percent,27.0,11.2%,0.0%-99.6%,11.018754959106445,3.0,0.013442372126155533,2.9962366170366295e-06,0.0,9.584426879882812e-05,0.021844714879989624,Safe
Steve-O,8,4,Percent,15.0,6.2%,0.4%-100.0%,6.494653224945068,8.0,0.013442372126155533,2.9962366170366295e-06,0.0,9.584426879882812e-05,0.021844714879989624,Safe
Holly Madison,8,4,Percent,16.0,6.6%,0.0%-12.9%,6.815816402435303,7.0,0.013442372126155533,2.9962366170366295e-06,0.0,9.584426879882812e-05,0.021844714879989624,Eliminated (Place 11)
Melissa Rycroft,8,4,Percent,29.0,12.0%,0.0%-99.6%,11.681028366088867,2.0,0.013442372126155533,2.9962366170366295e-06,0.0,9.584426879882812e-05,0.021844714879989624,Safe
Gilles Marini,8,5,Percent,29.0,13.8%,0.0%-96.7%,17.274837493896484,1.0,0.05333716804161667,0.0002669291861820966,0.0,0.00978231430053711,0.0370008647441864,Safe
David Alan Grier,8,5,Percent,22.0,10.5%,0.0%-11.7%,8.347633361816406,6.0,0.05333716804161667,0.0002669291861820966,0.0,0.00978231430053711,0.0370008647441864,Eliminated (Place 9)
Lawrence Taylor,8,5,Percent,20.0,9.5%,1.0%-97.6%,7.797510147094727,7.0,0.05333716804161667,0.0002669291861820966,0.0,0.00978231430053711,0.0370008647441864,Safe
Ty Murray,8,5,Percent,21.0,10.0%,0.5%-97.1%,8.665924072265625,5.0,0.05333716804161667,0.0002669291861820966,0.0,0.00978231430053711,0.0370008647441864,Safe
Shawn Johnson,8,5,Percent,26.0,12.4%,0.0%-96.7%,14.03985595703125,2.0,0.05333716804161667,0.0002669291861820966,0.0,0.00978231430053711,0.0370008647441864,Safe
Chuck Wicks,8,5,Percent,23.0,11.0%,0.0%-96.7%,10.962078094482422,4.0,0.05333716804161667,0.0002669291861820966,0.0,0.00978231430053711,0.0370008647441864,Safe
Lil' Kim,8,5,Percent,26.0,12.4%,0.0%-96.7%,14.03985595703125,2.0,0.05333716804161667,0.0002669291861820966,0.0,0.00978231430053711,0.0370008647441864,Safe
Steve-O,8,5,Percent,18.0,8.6%,1.9%-98.6%,5.885257720947266,8.0,0.05333716804161667,0.0002669291861820966,0.0,0.00978231430053711,0.0370008647441864,Safe
Melissa Rycroft,8,5,Percent,25.0,11.9%,0.0%-96.7%,12.987039566040039,3.0,0.05333716804161667,0.0002669291861820966,0.0,0.00978231430053711,0.0370008647441864,Safe
Gilles Marini,8,6,Percent,26.0,14.0%,0.0%-100.0%,13.183262825012207,3.0,0.0014453766867518424,0.0,0.0,2.8014183044433594e-06,0.0024042921140789986,Safe
Lawrence Taylor,8,6,Percent,22.0,11.8%,0.0%-100.0%,12.188776969909668,5.0,0.0014453766867518424,0.0,0.0,2.8014183044433594e-06,0.0024042921140789986,Safe
Ty Murray,8,6,Percent,18.0,9.7%,0.0%-100.0%,11.201171875,6.0,0.0014453766867518424,0.0,0.0,2.8014183044433594e-06,0.0024042921140789986,Safe
Shawn Johnson,8,6,Percent,26.0,14.0%,0.0%-100.0%,13.183262825012207,3.0,0.0014453766867518424,0.0,0.0,2.8014183044433594e-06,0.0024042921140789986,Safe
Chuck Wicks,8,6,Percent,23.0,12.4%,0.0%-100.0%,12.437535285949707,4.0,0.0014453766867518424,0.0,0.0,2.8014183044433594e-06,0.0024042921140789986,Safe
Lil' Kim,8,6,Percent,28.0,15.1%,0.0%-100.0%,13.67963695526123,1.0,0.0014453766867518424,0.0,0.0,2.8014183044433594e-06,0.0024042921140789986,Safe
Steve-O,8,6,Percent,16.0,8.6%,0.0%-16.4%,10.694706916809082,7.0,0.0014453766867518424,0.0,0.0,2.8014183044433594e-06,0.0024042921140789986,Eliminated (Place 8)
Melissa Rycroft,8,6,Percent,27.0,14.5%,0.0%-100.0%,13.431655883789062,2.0,0.0014453766867518424,0.0,0.0,2.8014183044433594e-06,0.0024042921140789986,Safe
Gilles Marini,8,7,Percent,27.0,14.8%,0.0%-100.0%,14.923909187316895,3.0,0.002769987843930721,0.0,0.0,3.874301910400391e-06,0.004610189236700535,Safe
Lawrence Taylor,8,7,Percent,21.0,11.5%,0.0%-17.0%,11.073812484741211,6.0,0.002769987843930721,0.0,0.0,3.874301910400391e-06,0.004610189236700535,Eliminated (Place 7)
Ty Murray,8,7,Percent,24.0,13.2%,0.0%-100.0%,12.995637893676758,5.0,0.002769987843930721,0.0,0.0,3.874301910400391e-06,0.004610189236700535,Safe
Shawn Johnson,8,7,Percent,28.0,15.4%,0.0%-100.0%,15.57667064666748,2.0,0.002769987843930721,0.0,0.0,3.874301910400391e-06,0.004610189236700535,Safe
Chuck Wicks,8,7,Percent,27.0,14.8%,0.0%-100.0%,14.923909187316895,3.0,0.002769987843930721,0.0,0.0,3.874301910400391e-06,0.004610189236700535,Safe
Lil' Kim,8,7,Percent,26.0,14.3%,0.0%-100.0%,14.284547805786133,4.0,0.002769987843930721,0.0,0.0,3.874301910400391e-06,0.004610189236700535,Safe
Melissa Rycroft,8,7,Percent,29.0,15.9%,0.0%-100.0%,16.221513748168945,1.0,0.002769987843930721,0.0,0.0,3.874301910400391e-06,0.004610189236700535,Safe
Gilles Marini,8,8,Percent,27.5,17.6%,0.0%-98.4%,23.534000396728516,2.0,0.12192878258429118,0.0006041025626473129,1.8620123228174634e-05,0.04188269376754761,0.05280107259750366,Safe
Ty Murray,8,8,Percent,26.0,16.7%,0.0%-98.4%,16.56629180908203,3.0,0.12192878258429118,0.0006041025626473129,1.8620123228174634e-05,0.04188269376754761,0.05280107259750366,Safe
Shawn Johnson,8,8,Percent,26.0,16.7%,0.0%-98.4%,16.56629180908203,3.0,0.12192878258429118,0.0006041025626473129,1.8620123228174634e-05,0.04188269376754761,0.05280107259750366,Safe
Chuck Wicks,8,8,Percent,25.5,16.3%,0.0%-17.0%,10.947131156921387,4.0,0.12192878258429118,0.0006041025626473129,1.8620123228174634e-05,0.04188269376754761,0.05280107259750366,Eliminated (Place 6)
Lil' Kim,8,8,Percent,28.0,17.9%,0.0%-98.4%,25.332515716552734,1.0,0.12192878258429118,0.0006041025626473129,1.8620123228174634e-05,0.04188269376754761,0.05280107259750366,Safe
Melissa Rycroft,8,8,Percent,23.0,14.7%,1.6%-100.0%,7.053776264190674,5.0,0.12192878258429118,0.0006041025626473129,1.8620123228174634e-05,0.04188269376754761,0.05280107259750366,Safe
Gilles Marini,8,9,Percent,28.0,21.0%,0.0%-97.8%,28.61886978149414,2.0,0.2092899822164327,0.00017736262816470116,0.0010791316162794828,0.1096879243850708,0.13875797390937805,Safe
Ty Murray,8,9,Percent,23.0,17.2%,2.2%-100.0%,5.466052532196045,4.0,0.2092899822164327,0.00017736262816470116,0.0010791316162794828,0.1096879243850708,0.13875797390937805,Safe
Shawn Johnson,8,9,Percent,28.0,21.0%,0.0%-97.8%,28.61886978149414,2.0,0.2092899822164327,0.00017736262816470116,0.0010791316162794828,0.1096879243850708,0.13875797390937805,Safe
Lil' Kim,8,9,Percent,26.0,19.5%,0.0%-20.5%,5.882412433624268,3.0,0.2092899822164327,0.00017736262816470116,0.0010791316162794828,0.1096879243850708,0.13875797390937805,Eliminated (Place 5)
Melissa Rycroft,8,9,Percent,28.5,21.3%,0.0%-97.8%,31.41378402709961,1.0,0.2092899822164327,0.00017736262816470116,0.0010791316162794828,0.1096879243850708,0.13875797390937805,Safe
Gilles Marini,8,10,Percent,30.0,27.4%,0.0%-100.0%,26.57506561279297,1.0,0.000459379272069782,0.0,0.0,7.748603820800781e-07,0.0007643406861461699,Safe
Ty Murray,8,10,Percent,24.0,21.9%,0.0%-28.1%,22.97784423828125,4.0,0.000459379272069782,0.0,0.0,7.748603820800781e-07,0.0007643406861461699,Eliminated (Place 4)
Shawn Johnson,8,10,Percent,28.0,25.6%,0.0%-100.0%,25.374921798706055,2.0,0.000459379272069782,0.0,0.0,7.748603820800781e-07,0.0007643406861461699,Safe
Melissa Rycroft,8,10,Percent,27.5,25.1%,0.0%-100.0%,25.072172164916992,3.0,0.000459379272069782,0.0,0.0,7.748603820800781e-07,0.0007643406861461699,Safe
Gilles Marini,8,11,Percent,29.0,33.1%,0.0%-50.6%,32.99421691894531,2.0,0.00021214187145233155,0.0,0.0,-1.1920928955078125e-07,0.0003537684679031372,Eliminated (Place 2)
Shawn Johnson,8,11,Percent,30.0,34.3%,32.4%-100.0%,35.02870178222656,1.0,0.00021214187145233155,0.0,0.0,-1.1920928955078125e-07,0.0003537684679031372,Safe
Melissa Rycroft,8,11,Percent,28.5,32.6%,0.0%-50.9%,31.977081298828125,3.0,0.00021214187145233155,0.0,0.0,-1.1920928955078125e-07,0.0003537684679031372,Eliminated (Place 3)
Ashley Hamiliton,9,1,Percent,18.9999,4.7%,0.0%-8.9%,5.854722023010254,11.0,0.000652778727450544,2.500734536982352e-13,0.0,2.1457672119140625e-06,0.0010843882337212563,Eliminated (Place 16)
Debi Mazar,9,1,Percent,22.0,5.4%,0.0%-100.0%,6.040765762329102,9.0,0.000652778727450544,2.500734536982352e-13,0.0,2.1457672119140625e-06,0.0010843882337212563,Safe
Melissa Joan Hart,9,1,Percent,24.0,5.9%,0.0%-100.0%,6.1639580726623535,8.0,0.000652778727450544,2.500734536982352e-13,0.0,2.1457672119140625e-06,0.0010843882337212563,Safe
Mark Dacascos,9,1,Percent,28.9998,7.1%,0.0%-100.0%,6.475832939147949,6.0,0.000652778727450544,2.500734536982352e-13,0.0,2.1457672119140625e-06,0.0010843882337212563,Safe
Chuck Liddell,9,1,Percent,22.0,5.4%,0.0%-100.0%,6.040765762329102,9.0,0.000652778727450544,2.500734536982352e-13,0.0,2.1457672119140625e-06,0.0010843882337212563,Safe
Natalie Coughlin,9,1,Percent,26.9998,6.7%,0.0%-100.0%,6.35133171081543,7.0,0.000652778727450544,2.500734536982352e-13,0.0,2.1457672119140625e-06,0.0010843882337212563,Safe
Louie Vito,9,1,Percent,26.9998,6.7%,0.0%-100.0%,6.35133171081543,7.0,0.000652778727450544,2.500734536982352e-13,0.0,2.1457672119140625e-06,0.0010843882337212563,Safe
Michael Irvin,9,1,Percent,19.0,4.7%,0.0%-100.0%,5.854516983032227,12.0,0.000652778727450544,2.500734536982352e-13,0.0,2.1457672119140625e-06,0.0010843882337212563,Safe
Joanna Krupa,9,1,Percent,33.9999,8.4%,0.0%-100.0%,6.7847490310668945,1.0,0.000652778727450544,2.500734536982352e-13,0.0,2.1457672119140625e-06,0.0010843882337212563,Safe
Kathy Ireland,9,1,Percent,19.9999,4.9%,0.0%-100.0%,5.916097164154053,10.0,0.000652778727450544,2.500734536982352e-13,0.0,2.1457672119140625e-06,0.0010843882337212563,Safe
Tom DeLay,9,1,Percent,19.9999,4.9%,0.0%-100.0%,5.916097164154053,10.0,0.000652778727450544,2.500734536982352e-13,0.0,2.1457672119140625e-06,0.0010843882337212563,Withdrew
Macy Gray,9,1,Percent,18.9999,4.7%,0.0%-8.9%,5.854722023010254,11.0,0.000652778727450544,2.500734536982352e-13,0.0,2.1457672119140625e-06,0.0010843882337212563,Eliminated (Place 15)
Aaron Carter,9,1,Percent,31.999899999999997,7.9%,0.0%-100.0%,6.659285545349121,2.0,0.000652778727450544,2.500734536982352e-13,0.0,2.1457672119140625e-06,0.0010843882337212563,Safe
Mya,9,1,Percent,30.999899999999997,7.6%,0.0%-100.0%,6.598644733428955,4.0,0.000652778727450544,2.500734536982352e-13,0.0,2.1457672119140625e-06,0.0010843882337212563,Safe
Donny Osmond,9,1,Percent,29.999899999999997,7.4%,0.0%-100.0%,6.536918640136719,5.0,0.000652778727450544,2.500734536982352e-13,0.0,2.1457672119140625e-06,0.0010843882337212563,Safe
Kelly Osbourne,9,1,Percent,30.9998,7.6%,0.0%-100.0%,6.6002607345581055,3.0,0.000652778727450544,2.500734536982352e-13,0.0,2.1457672119140625e-06,0.0010843882337212563,Safe
Debi Mazar,9,2,Percent,21.0,7.1%,0.0%-100.0%,7.184146881103516,3.0,0.026380647718906403,0.0,0.0,0.001229703426361084,0.04191824048757553,Safe
Melissa Joan Hart,9,2,Percent,19.0,6.5%,0.0%-100.0%,5.5829176902771,5.0,0.026380647718906403,0.0,0.0,0.001229703426361084,0.04191824048757553,Safe
Mark Dacascos,9,2,Percent,21.0,7.1%,0.0%-100.0%,7.184146881103516,3.0,0.026380647718906403,0.0,0.0,0.001229703426361084,0.04191824048757553,Safe
Chuck Liddell,9,2,Percent,19.0,6.5%,0.0%-100.0%,5.5829176902771,5.0,0.026380647718906403,0.0,0.0,0.001229703426361084,0.04191824048757553,Safe
Natalie Coughlin,9,2,Percent,21.0,7.1%,0.0%-100.0%,7.184146881103516,3.0,0.026380647718906403,0.0,0.0,0.001229703426361084,0.04191824048757553,Safe
Louie Vito,9,2,Percent,19.0,6.5%,0.0%-100.0%,5.5829176902771,5.0,0.026380647718906403,0.0,0.0,0.001229703426361084,0.04191824048757553,Safe
Michael Irvin,9,2,Percent,20.0,6.8%,0.0%-100.0%,6.372677326202393,4.0,0.026380647718906403,0.0,0.0,0.001229703426361084,0.04191824048757553,Safe
Joanna Krupa,9,2,Percent,20.0,6.8%,0.0%-100.0%,6.372677326202393,4.0,0.026380647718906403,0.0,0.0,0.001229703426361084,0.04191824048757553,Safe
Kathy Ireland,9,2,Percent,18.0,6.1%,0.0%-8.8%,4.500708103179932,6.0,0.026380647718906403,0.0,0.0,0.001229703426361084,0.04191824048757553,Eliminated (Place 14)
Tom DeLay,9,2,Percent,18.0,6.1%,0.0%-100.0%,4.500708103179932,6.0,0.026380647718906403,0.0,0.0,0.001229703426361084,0.04191824048757553,Withdrew
Aaron Carter,9,2,Percent,27.0,9.2%,0.0%-100.0%,11.875112533569336,1.0,0.026380647718906403,0.0,0.0,0.001229703426361084,0.04191824048757553,Safe
Mya,9,2,Percent,27.0,9.2%,0.0%-100.0%,11.875112533569336,1.0,0.026380647718906403,0.0,0.0,0.001229703426361084,0.04191824048757553,Safe
Donny Osmond,9,2,Percent,25.0,8.5%,0.0%-100.0%,10.618888854980469,2.0,0.026380647718906403,0.0,0.0,0.001229703426361084,0.04191824048757553,Safe
Kelly Osbourne,9,2,Percent,19.0,6.5%,0.0%-100.0%,5.5829176902771,5.0,0.026380647718906403,0.0,0.0,0.001229703426361084,0.04191824048757553,Safe
Debi Mazar,9,3,Percent,17.0,6.6%,0.0%-9.6%,5.8233642578125,9.0,0.02442463613115251,6.433266389649361e-05,0.0,0.0007120370864868164,0.030943309888243675,Eliminated (Place 12)
Melissa Joan Hart,9,3,Percent,19.0,7.4%,0.0%-98.8%,7.264281749725342,6.0,0.02442463613115251,6.433266389649361e-05,0.0,0.0007120370864868164,0.030943309888243675,Safe
Mark Dacascos,9,3,Percent,18.0,7.0%,0.0%-98.8%,6.671011447906494,7.0,0.02442463613115251,6.433266389649361e-05,0.0,0.0007120370864868164,0.030943309888243675,Safe
Chuck Liddell,9,3,Percent,17.0,6.6%,0.0%-98.8%,6.080926418304443,8.0,0.02442463613115251,6.433266389649361e-05,0.0,0.0007120370864868164,0.030943309888243675,Safe
Natalie Coughlin,9,3,Percent,26.0,10.1%,0.0%-98.8%,11.267463684082031,2.0,0.02442463613115251,6.433266389649361e-05,0.0,0.0007120370864868164,0.030943309888243675,Safe
Louie Vito,9,3,Percent,20.0,7.8%,0.0%-98.8%,7.834813117980957,5.0,0.02442463613115251,6.433266389649361e-05,0.0,0.0007120370864868164,0.030943309888243675,Safe
Michael Irvin,9,3,Percent,14.0,5.4%,1.2%-100.0%,4.325969696044922,11.0,0.02442463613115251,6.433266389649361e-05,0.0,0.0007120370864868164,0.030943309888243675,Safe
Joanna Krupa,9,3,Percent,23.0,8.9%,0.0%-98.8%,9.386202812194824,3.0,0.02442463613115251,6.433266389649361e-05,0.0,0.0007120370864868164,0.030943309888243675,Safe
Tom DeLay,9,3,Percent,15.0,5.8%,0.0%-98.8%,4.889058589935303,10.0,0.02442463613115251,6.433266389649361e-05,0.0,0.0007120370864868164,0.030943309888243675,Withdrew
Aaron Carter,9,3,Percent,21.0,8.1%,0.0%-98.8%,8.409454345703125,4.0,0.02442463613115251,6.433266389649361e-05,0.0,0.0007120370864868164,0.030943309888243675,Safe
Mya,9,3,Percent,27.0,10.5%,0.0%-98.8%,11.80318546295166,1.0,0.02442463613115251,6.433266389649361e-05,0.0,0.0007120370864868164,0.030943309888243675,Safe
Donny Osmond,9,3,Percent,21.0,8.1%,0.0%-98.8%,8.409454345703125,4.0,0.02442463613115251,6.433266389649361e-05,0.0,0.0007120370864868164,0.030943309888243675,Safe
Kelly Osbourne,9,3,Percent,20.0,7.8%,0.0%-98.8%,7.834813117980957,5.0,0.02442463613115251,6.433266389649361e-05,0.0,0.0007120370864868164,0.030943309888243675,Safe
Melissa Joan Hart,9,4,Percent,28.0,11.6%,0.0%-99.2%,11.999666213989258,1.0,0.014414137037238105,8.993765732157044e-06,0.0,0.0005699992179870605,0.02187439426779747,Safe
Mark Dacascos,9,4,Percent,22.0,9.1%,0.0%-99.2%,9.085559844970703,5.0,0.014414137037238105,8.993765732157044e-06,0.0,0.0005699992179870605,0.02187439426779747,Safe
Chuck Liddell,9,4,Percent,17.0,7.0%,0.0%-11.2%,6.480573654174805,7.0,0.014414137037238105,8.993765732157044e-06,0.0,0.0005699992179870605,0.02187439426779747,Eliminated (Place 11)
Natalie Coughlin,9,4,Percent,24.0,9.9%,0.0%-99.2%,10.054957389831543,3.0,0.014414137037238105,8.993765732157044e-06,0.0,0.0005699992179870605,0.02187439426779747,Safe
Louie Vito,9,4,Percent,16.0,6.6%,0.4%-99.6%,6.223207950592041,8.0,0.014414137037238105,8.993765732157044e-06,0.0,0.0005699992179870605,0.02187439426779747,Safe
Michael Irvin,9,4,Percent,16.0,6.6%,0.4%-99.6%,6.223207950592041,8.0,0.014414137037238105,8.993765732157044e-06,0.0,0.0005699992179870605,0.02187439426779747,Safe
Joanna Krupa,9,4,Percent,26.0,10.7%,0.0%-99.2%,11.023033142089844,2.0,0.014414137037238105,8.993765732157044e-06,0.0,0.0005699992179870605,0.02187439426779747,Safe
Aaron Carter,9,4,Percent,18.0,7.4%,0.0%-99.2%,7.13744592666626,6.0,0.014414137037238105,8.993765732157044e-06,0.0,0.0005699992179870605,0.02187439426779747,Safe
Mya,9,4,Percent,28.0,11.6%,0.0%-99.2%,11.999666213989258,1.0,0.014414137037238105,8.993765732157044e-06,0.0,0.0005699992179870605,0.02187439426779747,Safe
Donny Osmond,9,4,Percent,24.0,9.9%,0.0%-99.2%,10.054957389831543,3.0,0.014414137037238105,8.993765732157044e-06,0.0,0.0005699992179870605,0.02187439426779747,Safe
Kelly Osbourne,9,4,Percent,23.0,9.5%,0.0%-99.2%,9.717720985412598,4.0,0.014414137037238105,8.993765732157044e-06,0.0,0.0005699992179870605,0.02187439426779747,Safe
Melissa Joan Hart,9,5,Percent,23.0,9.5%,0.0%-99.6%,8.956086158752441,5.0,0.016982696787454187,1.5969046216923743e-05,0.0,0.0012663602828979492,0.0240646880120039,Safe
Mark Dacascos,9,5,Percent,26.0,10.7%,0.0%-99.6%,11.814850807189941,3.0,0.016982696787454187,1.5969046216923743e-05,0.0,0.0012663602828979492,0.0240646880120039,Safe
Natalie Coughlin,9,5,Percent,22.0,9.1%,0.0%-10.9%,7.372622013092041,7.0,0.016982696787454187,1.5969046216923743e-05,0.0,0.0012663602828979492,0.0240646880120039,Eliminated (Place 10)
Louie Vito,9,5,Percent,22.0,9.1%,0.0%-99.6%,7.489111423492432,6.0,0.016982696787454187,1.5969046216923743e-05,0.0,0.0012663602828979492,0.0240646880120039,Safe
Michael Irvin,9,5,Percent,21.0,8.7%,0.4%-100.0%,6.587006092071533,8.0,0.016982696787454187,1.5969046216923743e-05,0.0,0.0012663602828979492,0.0240646880120039,Safe
Joanna Krupa,9,5,Percent,24.0,9.9%,0.0%-99.6%,9.803845405578613,4.0,0.016982696787454187,1.5969046216923743e-05,0.0,0.0012663602828979492,0.0240646880120039,Safe
Aaron Carter,9,5,Percent,24.0,9.9%,0.0%-99.6%,9.803845405578613,4.0,0.016982696787454187,1.5969046216923743e-05,0.0,0.0012663602828979492,0.0240646880120039,Safe
Mya,9,5,Percent,27.0,11.2%,0.0%-99.6%,13.124467849731445,2.0,0.016982696787454187,1.5969046216923743e-05,0.0,0.0012663602828979492,0.0240646880120039,Safe
Donny Osmond,9,5,Percent,29.0,12.0%,0.0%-99.6%,15.244322776794434,1.0,0.016982696787454187,1.5969046216923743e-05,0.0,0.0012663602828979492,0.0240646880120039,Safe
Kelly Osbourne,9,5,Percent,24.0,9.9%,0.0%-99.6%,9.803845405578613,4.0,0.016982696787454187,1.5969046216923743e-05,0.0,0.0012663602828979492,0.0240646880120039,Safe
Melissa Joan Hart,9,6,Percent,23.9999,9.2%,0.0%-14.6%,10.19540786743164,8.0,0.0028823531349189578,1.776739736669697e-05,0.0,3.2067298889160156e-05,0.0023814900778234005,Eliminated (Place 9)
Mark Dacascos,9,6,Percent,32.0,12.3%,0.0%-99.2%,11.690032958984375,4.0,0.0028823531349189578,1.776739736669697e-05,0.0,3.2067298889160156e-05,0.0023814900778234005,Safe
Louie Vito,9,6,Percent,24.0,9.2%,0.0%-14.6%,10.19682502746582,7.0,0.0028823531349189578,1.776739736669697e-05,0.0,3.2067298889160156e-05,0.0023814900778234005,Eliminated (Place 8)
Michael Irvin,9,6,Percent,21.9998,8.5%,0.8%-100.0%,9.850187301635742,9.0,0.0028823531349189578,1.776739736669697e-05,0.0,3.2067298889160156e-05,0.0023814900778234005,Safe
Joanna Krupa,9,6,Percent,35.9999,13.8%,0.0%-99.2%,12.428241729736328,1.0,0.0028823531349189578,1.776739736669697e-05,0.0,3.2067298889160156e-05,0.0023814900778234005,Safe
Aaron Carter,9,6,Percent,32.9998,12.7%,0.0%-99.2%,11.878344535827637,2.0,0.0028823531349189578,1.776739736669697e-05,0.0,3.2067298889160156e-05,0.0023814900778234005,Safe
Mya,9,6,Percent,33.0,12.7%,0.0%-99.2%,11.87304973602295,3.0,0.0028823531349189578,1.776739736669697e-05,0.0,3.2067298889160156e-05,0.0023814900778234005,Safe
Donny Osmond,9,6,Percent,30.999899999999997,11.9%,0.0%-99.2%,11.501622200012207,5.0,0.0028823531349189578,1.776739736669697e-05,0.0,3.2067298889160156e-05,0.0023814900778234005,Safe
Kelly Osbourne,9,6,Percent,24.9998,9.6%,0.0%-99.2%,10.386286735534668,6.0,0.0028823531349189578,1.776739736669697e-05,0.0,3.2067298889160156e-05,0.0023814900778234005,Safe
Mark Dacascos,9,7,Percent,21.5,12.3%,0.0%-18.9%,13.328493118286133,6.0,0.0002633240073919296,0.0,0.0,2.384185791015625e-07,0.00043847598135471344,Eliminated (Place 6)
Michael Irvin,9,7,Percent,23.5,13.4%,0.0%-17.9%,13.863693237304688,5.0,0.0002633240073919296,0.0,0.0,2.384185791015625e-07,0.00043847598135471344,Eliminated (Place 7)
Joanna Krupa,9,7,Percent,27.5,15.7%,0.0%-100.0%,14.936932563781738,1.0,0.0002633240073919296,0.0,0.0,2.384185791015625e-07,0.00043847598135471344,Safe
Aaron Carter,9,7,Percent,26.5,15.1%,0.0%-100.0%,14.668739318847656,2.0,0.0002633240073919296,0.0,0.0,2.384185791015625e-07,0.00043847598135471344,Safe
Mya,9,7,Percent,24.5,14.0%,0.0%-100.0%,14.133109092712402,4.0,0.0002633240073919296,0.0,0.0,2.384185791015625e-07,0.00043847598135471344,Safe
Donny Osmond,9,7,Percent,26.0,14.8%,0.0%-100.0%,14.534516334533691,3.0,0.0002633240073919296,0.0,0.0,2.384185791015625e-07,0.00043847598135471344,Safe
