CelebrityName,Season,Week,RuleType,JudgeScore,JudgeScore_Normalization,Possible_Audience_Vote_Range,Predicted_Audience_Percent,Predicted_Audience_Rank,Loss_Total,Loss_Constraint,Loss_Smooth,Loss_Corr,Loss_Reg,Loss_Diversity,Status,Config_alpha_constraint,Config_beta_smooth,Config_gamma_corr,Config_delta_reg,Config_epsilon_diversity,Config_steps,Config_lr,Config_temperature,Config_rank_tau,Config_reg_type,Config_normal_sigma_factor,Config_longtail_alpha,Config_longtail_shift,Config_constraint_margin,Config_diversity_sigma
Marissa Jaret Winokur,6,2,Percent,21.0,8.2%,0.0%-99.6%,7.998501300811768,5.0,0.10784225596289616,4.724569407699164e-06,0.0,0.00027185678482055664,0.045325618237257004,0.39998531341552734,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Jason Taylor,6,2,Percent,27.0,10.5%,0.0%-99.6%,12.235285758972168,1.0,0.10784225596289616,4.724569407699164e-06,0.0,0.00027185678482055664,0.045325618237257004,0.39998531341552734,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Kristi Yamaguchi,6,2,Percent,27.0,10.5%,0.0%-99.6%,12.235285758972168,1.0,0.10784225596289616,4.724569407699164e-06,0.0,0.00027185678482055664,0.045325618237257004,0.39998531341552734,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Monica Seles,6,2,Percent,15.0,5.8%,0.0%-11.7%,3.955543041229248,10.0,0.10784225596289616,4.724569407699164e-06,0.0,0.00027185678482055664,0.045325618237257004,0.39998531341552734,Eliminated (Place 11),80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Penn Jillette,6,2,Percent,17.0,6.6%,0.0%-11.0%,5.291760444641113,8.0,0.10784225596289616,4.724569407699164e-06,0.0,0.00027185678482055664,0.045325618237257004,0.39998531341552734,Eliminated (Place 12),80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Adam Carolla,6,2,Percent,19.0,7.4%,0.0%-99.6%,6.600099086761475,7.0,0.10784225596289616,4.724569407699164e-06,0.0,0.00027185678482055664,0.045325618237257004,0.39998531341552734,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Mario,6,2,Percent,26.0,10.1%,0.0%-99.6%,11.422408103942871,2.0,0.10784225596289616,4.724569407699164e-06,0.0,0.00027185678482055664,0.045325618237257004,0.39998531341552734,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Cristian de la Fuente,6,3,Percent,25.0,11.0%,0.0%-99.1%,12.855629920959473,3.0,0.10408247653394938,6.590440170839429e-05,0.0,0.00352632999420166,0.039156168699264526,0.3589504659175873,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Steve Guttenberg,6,3,Percent,21.0,9.2%,0.0%-10.8%,6.942652225494385,8.0,0.10408247653394938,6.590440170839429e-05,0.0,0.00352632999420166,0.039156168699264526,0.3589504659175873,Eliminated (Place 10),80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Priscilla Presley,6,3,Percent,26.0,11.4%,0.0%-99.1%,14.18596363067627,2.0,0.10408247653394938,6.590440170839429e-05,0.0,0.00352632999420166,0.039156168699264526,0.3589504659175873,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Marlee Matlin,6,3,Percent,21.0,9.2%,0.0%-99.1%,7.52103328704834,7.0,0.10408247653394938,6.590440170839429e-05,0.0,0.00352632999420166,0.039156168699264526,0.3589504659175873,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Shannon Elizabeth,6,3,Percent,24.0,10.5%,0.0%-99.1%,11.550244331359863,4.0,0.10408247653394938,6.590440170839429e-05,0.0,0.00352632999420166,0.039156168699264526,0.3589504659175873,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Marissa Jaret Winokur,6,3,Percent,19.0,8.3%,0.9%-100.0%,5.384397506713867,9.0,0.10408247653394938,6.590440170839429e-05,0.0,0.00352632999420166,0.039156168699264526,0.3589504659175873,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Jason Taylor,6,3,Percent,23.0,10.1%,0.0%-99.1%,10.263792037963867,5.0,0.10408247653394938,6.590440170839429e-05,0.0,0.00352632999420166,0.039156168699264526,0.3589504659175873,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Kristi Yamaguchi,6,3,Percent,27.0,11.8%,0.0%-99.1%,15.553176879882812,1.0,0.10408247653394938,6.590440170839429e-05,0.0,0.00352632999420166,0.039156168699264526,0.3589504659175873,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Adam Carolla,6,3,Percent,21.0,9.2%,0.0%-99.1%,7.871557712554932,6.0,0.10408247653394938,6.590440170839429e-05,0.0,0.00352632999420166,0.039156168699264526,0.3589504659175873,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Mario,6,3,Percent,21.0,9.2%,0.0%-99.1%,7.871557712554932,6.0,0.10408247653394938,6.590440170839429e-05,0.0,0.00352632999420166,0.039156168699264526,0.3589504659175873,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Cristian de la Fuente,6,4,Percent,26.0,11.6%,0.0%-100.0%,12.261208534240723,3.0,0.09201071113348008,0.0,0.0,0.0011196732521057129,0.0417032316327095,0.3293454945087433,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Priscilla Presley,6,4,Percent,22.0,9.8%,0.0%-100.0%,7.532024383544922,7.0,0.09201071113348008,0.0,0.0,0.0011196732521057129,0.0417032316327095,0.3293454945087433,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Marlee Matlin,6,4,Percent,24.0,10.7%,0.0%-100.0%,10.13004207611084,4.0,0.09201071113348008,0.0,0.0,0.0011196732521057129,0.0417032316327095,0.3293454945087433,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Shannon Elizabeth,6,4,Percent,28.0,12.4%,0.0%-100.0%,14.350154876708984,2.0,0.09201071113348008,0.0,0.0,0.0011196732521057129,0.0417032316327095,0.3293454945087433,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Marissa Jaret Winokur,6,4,Percent,24.0,10.7%,0.0%-100.0%,10.013811111450195,5.0,0.09201071113348008,0.0,0.0,0.0011196732521057129,0.0417032316327095,0.3293454945087433,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Jason Taylor,6,4,Percent,29.0,12.9%,0.0%-100.0%,15.744643211364746,1.0,0.09201071113348008,0.0,0.0,0.0011196732521057129,0.0417032316327095,0.3293454945087433,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Kristi Yamaguchi,6,4,Percent,29.0,12.9%,0.0%-100.0%,15.744643211364746,1.0,0.09201071113348008,0.0,0.0,0.0011196732521057129,0.0417032316327095,0.3293454945087433,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Adam Carolla,6,4,Percent,19.0,8.4%,0.0%-13.8%,4.556292533874512,8.0,0.09201071113348008,0.0,0.0,0.0011196732521057129,0.0417032316327095,0.3293454945087433,Eliminated (Place 9),80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Mario,6,4,Percent,24.0,10.7%,0.0%-100.0%,9.667176246643066,6.0,0.09201071113348008,0.0,0.0,0.0011196732521057129,0.0417032316327095,0.3293454945087433,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Cristian de la Fuente,6,5,Percent,23.0,11.7%,0.0%-100.0%,10.409820556640625,5.0,0.08019977509975434,0.0,0.0,0.0014493465423583984,0.04068104922771454,0.27170899510383606,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Priscilla Presley,6,5,Percent,21.0,10.7%,0.0%-14.3%,6.730384349822998,8.0,0.08019977509975434,0.0,0.0,0.0014493465423583984,0.04068104922771454,0.27170899510383606,Eliminated (Place 8),80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Marlee Matlin,6,5,Percent,22.0,11.2%,0.0%-100.0%,8.35877799987793,7.0,0.08019977509975434,0.0,0.0,0.0014493465423583984,0.04068104922771454,0.27170899510383606,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Shannon Elizabeth,6,5,Percent,23.0,11.7%,0.0%-100.0%,9.942100524902344,6.0,0.08019977509975434,0.0,0.0,0.0014493465423583984,0.04068104922771454,0.27170899510383606,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Marissa Jaret Winokur,6,5,Percent,24.0,12.2%,0.0%-100.0%,12.015883445739746,4.0,0.08019977509975434,0.0,0.0,0.0014493465423583984,0.04068104922771454,0.27170899510383606,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Jason Taylor,6,5,Percent,27.0,13.8%,0.0%-100.0%,16.14829444885254,3.0,0.08019977509975434,0.0,0.0,0.0014493465423583984,0.04068104922771454,0.27170899510383606,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Kristi Yamaguchi,6,5,Percent,29.0,14.8%,0.0%-100.0%,19.735599517822266,1.0,0.08019977509975434,0.0,0.0,0.0014493465423583984,0.04068104922771454,0.27170899510383606,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Mario,6,5,Percent,27.0,13.8%,0.0%-100.0%,16.659133911132812,2.0,0.08019977509975434,0.0,0.0,0.0014493465423583984,0.04068104922771454,0.27170899510383606,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Cristian de la Fuente,6,6,Percent,27.0,15.0%,0.0%-100.0%,16.409835815429688,3.0,0.06866666004061699,0.0,0.0,0.0011135339736938477,0.038511428982019424,0.22223134338855743,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Marlee Matlin,6,6,Percent,21.0,11.7%,0.0%-16.9%,6.613188743591309,7.0,0.06866666004061699,0.0,0.0,0.0011135339736938477,0.038511428982019424,0.22223134338855743,Eliminated (Place 7),80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Shannon Elizabeth,6,6,Percent,24.0,13.3%,0.0%-100.0%,10.980167388916016,6.0,0.06866666004061699,0.0,0.0,0.0011135339736938477,0.038511428982019424,0.22223134338855743,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Marissa Jaret Winokur,6,6,Percent,26.0,14.4%,0.0%-100.0%,14.598605155944824,4.0,0.06866666004061699,0.0,0.0,0.0011135339736938477,0.038511428982019424,0.22223134338855743,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Jason Taylor,6,6,Percent,24.0,13.3%,0.0%-100.0%,11.621929168701172,5.0,0.06866666004061699,0.0,0.0,0.0011135339736938477,0.038511428982019424,0.22223134338855743,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Kristi Yamaguchi,6,6,Percent,30.0,16.7%,0.0%-100.0%,21.51787567138672,1.0,0.06866666004061699,0.0,0.0,0.0011135339736938477,0.038511428982019424,0.22223134338855743,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Mario,6,6,Percent,28.0,15.6%,0.0%-100.0%,18.25839614868164,2.0,0.06866666004061699,0.0,0.0,0.0011135339736938477,0.038511428982019424,0.22223134338855743,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Cristian de la Fuente,6,7,Percent,23.0,14.9%,1.6%-100.0%,12.028352737426758,6.0,0.13167637642472982,0.0004708895576186478,0.0,0.014429628849029541,0.008752966299653053,0.37161901593208313,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Shannon Elizabeth,6,7,Percent,25.5,16.5%,0.0%-16.8%,15.262497901916504,5.0,0.13167637642472982,0.0004708895576186478,0.0,0.014429628849029541,0.008752966299653053,0.37161901593208313,Eliminated (Place 6),80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Marissa Jaret Winokur,6,7,Percent,26.0,16.8%,0.0%-98.4%,17.224042892456055,3.0,0.13167637642472982,0.0004708895576186478,0.0,0.014429628849029541,0.008752966299653053,0.37161901593208313,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Jason Taylor,6,7,Percent,27.5,17.8%,0.0%-98.4%,20.234283447265625,1.0,0.13167637642472982,0.0004708895576186478,0.0,0.014429628849029541,0.008752966299653053,0.37161901593208313,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Kristi Yamaguchi,6,7,Percent,27.0,17.5%,0.0%-98.4%,19.115955352783203,2.0,0.13167637642472982,0.0004708895576186478,0.0,0.014429628849029541,0.008752966299653053,0.37161901593208313,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Mario,6,7,Percent,25.5,16.5%,0.0%-98.4%,16.134862899780273,4.0,0.13167637642472982,0.0004708895576186478,0.0,0.014429628849029541,0.008752966299653053,0.37161901593208313,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Cristian de la Fuente,6,8,Percent,28.5,21.3%,0.0%-98.5%,25.14273452758789,1.0,0.10610261894762515,0.00041221565334126353,0.0,0.00848454236984253,0.008102086372673512,0.2988978624343872,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Marissa Jaret Winokur,6,8,Percent,25.0,18.7%,1.1%-99.6%,15.85245132446289,5.0,0.10610261894762515,0.00041221565334126353,0.0,0.00848454236984253,0.008102086372673512,0.2988978624343872,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Jason Taylor,6,8,Percent,26.0,19.5%,0.4%-98.9%,18.058128356933594,4.0,0.10610261894762515,0.00041221565334126353,0.0,0.00848454236984253,0.008102086372673512,0.2988978624343872,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Kristi Yamaguchi,6,8,Percent,27.5,20.6%,0.0%-98.5%,22.27840232849121,2.0,0.10610261894762515,0.00041221565334126353,0.0,0.00848454236984253,0.008102086372673512,0.2988978624343872,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Mario,6,8,Percent,26.5,19.9%,0.0%-20.1%,18.668277740478516,3.0,0.10610261894762515,0.00041221565334126353,0.0,0.00848454236984253,0.008102086372673512,0.2988978624343872,Eliminated (Place 5),80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Cristian de la Fuente,6,9,Percent,28.0,25.5%,0.0%-100.0%,28.62807273864746,2.0,0.03636550530791283,0.0,0.0,0.0017592310905456543,0.025427501648664474,0.09674886614084244,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Marissa Jaret Winokur,6,9,Percent,26.0,23.6%,0.0%-26.4%,14.071054458618164,4.0,0.03636550530791283,0.0,0.0,0.0017592310905456543,0.025427501648664474,0.09674886614084244,Eliminated (Place 4),80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Jason Taylor,6,9,Percent,27.5,25.0%,0.0%-100.0%,24.3739070892334,3.0,0.03636550530791283,0.0,0.0,0.0017592310905456543,0.025427501648664474,0.09674886614084244,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Kristi Yamaguchi,6,9,Percent,28.5,25.9%,0.0%-100.0%,32.92695999145508,1.0,0.03636550530791283,0.0,0.0,0.0017592310905456543,0.025427501648664474,0.09674886614084244,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Cristian de la Fuente,6,10,Percent,26.0,30.8%,0.0%-52.4%,23.028390884399414,3.0,0.016069137305021287,0.0,0.0,0.0003514885902404785,0.015138566493988037,0.033172544091939926,Eliminated (Place 3),80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Jason Taylor,6,10,Percent,28.5,33.7%,0.0%-50.9%,34.64131164550781,2.0,0.016069137305021287,0.0,0.0,0.0003514885902404785,0.015138566493988037,0.033172544091939926,Eliminated (Place 2),80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Kristi Yamaguchi,6,10,Percent,30.0,35.5%,31.2%-100.0%,42.330299377441406,1.0,0.016069137305021287,0.0,0.0,0.0003514885902404785,0.015138566493988037,0.033172544091939926,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Ted McGinley,7,1,Percent,18.5,7.3%,0.0%-9.7%,6.692452907562256,10.0,0.12482867185026408,3.5276461858302355e-05,0.0,0.001875758171081543,0.03970827907323837,0.4815291464328766,Eliminated (Place 12),80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Cloris Leachman,7,1,Percent,16.0,6.3%,1.0%-99.6%,5.194077491760254,12.0,0.12482867185026408,3.5276461858302355e-05,0.0,0.001875758171081543,0.03970827907323837,0.4815291464328766,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Susan Lucci,7,1,Percent,18.5,7.3%,0.0%-98.6%,6.93997049331665,9.0,0.12482867185026408,3.5276461858302355e-05,0.0,0.001875758171081543,0.03970827907323837,0.4815291464328766,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Cody Linley,7,1,Percent,20.5,8.1%,0.0%-98.6%,8.477852821350098,6.0,0.12482867185026408,3.5276461858302355e-05,0.0,0.001875758171081543,0.03970827907323837,0.4815291464328766,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Misty May-Treanor,7,1,Percent,21.0,8.3%,0.0%-98.6%,8.888659477233887,5.0,0.12482867185026408,3.5276461858302355e-05,0.0,0.001875758171081543,0.03970827907323837,0.4815291464328766,Withdrew,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Maurice Greene,7,1,Percent,19.5,7.7%,0.0%-98.6%,7.754909992218018,7.0,0.12482867185026408,3.5276461858302355e-05,0.0,0.001875758171081543,0.03970827907323837,0.4815291464328766,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Warren Sapp,7,1,Percent,21.5,8.5%,0.0%-98.6%,9.301176071166992,4.0,0.12482867185026408,3.5276461858302355e-05,0.0,0.001875758171081543,0.03970827907323837,0.4815291464328766,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Jeffrey Ross,7,1,Percent,12.0,4.8%,0.0%-12.0%,2.459069013595581,13.0,0.12482867185026408,3.5276461858302355e-05,0.0,0.001875758171081543,0.03970827907323837,0.4815291464328766,Eliminated (Place 13),80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Toni Braxton,7,1,Percent,22.5,8.9%,0.0%-98.6%,10.136994361877441,2.0,0.12482867185026408,3.5276461858302355e-05,0.0,0.001875758171081543,0.03970827907323837,0.4815291464328766,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Lance Bass,7,1,Percent,21.5,8.5%,0.0%-98.6%,9.398158073425293,3.0,0.12482867185026408,3.5276461858302355e-05,0.0,0.001875758171081543,0.03970827907323837,0.4815291464328766,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Kim Kardashian,7,1,Percent,18.5,7.3%,0.0%-98.6%,7.035173416137695,8.0,0.12482867185026408,3.5276461858302355e-05,0.0,0.001875758171081543,0.03970827907323837,0.4815291464328766,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Rocco DiSpirito,7,1,Percent,17.5,6.9%,0.4%-99.0%,6.165693283081055,11.0,0.12482867185026408,3.5276461858302355e-05,0.0,0.001875758171081543,0.03970827907323837,0.4815291464328766,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Brooke Burke,7,1,Percent,24.5,9.7%,0.0%-98.6%,11.555814743041992,1.0,0.12482867185026408,3.5276461858302355e-05,0.0,0.001875758171081543,0.03970827907323837,0.4815291464328766,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Cloris Leachman,7,2,Percent,15.0,6.8%,0.9%-99.5%,4.519465446472168,9.0,0.11075539082521572,6.045781265129335e-05,0.0,0.0019317269325256348,0.03976292535662651,0.4006464183330536,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Susan Lucci,7,2,Percent,21.0,9.5%,0.0%-98.6%,9.958381652832031,4.0,0.11075539082521572,6.045781265129335e-05,0.0,0.0019317269325256348,0.03976292535662651,0.4006464183330536,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Cody Linley,7,2,Percent,21.0,9.5%,0.0%-98.6%,9.958381652832031,4.0,0.11075539082521572,6.045781265129335e-05,0.0,0.0019317269325256348,0.03976292535662651,0.4006464183330536,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Misty May-Treanor,7,2,Percent,21.0,9.5%,0.0%-98.6%,9.958381652832031,4.0,0.11075539082521572,6.045781265129335e-05,0.0,0.0019317269325256348,0.03976292535662651,0.4006464183330536,Withdrew,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Maurice Greene,7,2,Percent,19.0,8.6%,0.0%-98.6%,7.895585060119629,6.0,0.11075539082521572,6.045781265129335e-05,0.0,0.0019317269325256348,0.03976292535662651,0.4006464183330536,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Warren Sapp,7,2,Percent,24.0,10.9%,0.0%-98.6%,13.04316234588623,1.0,0.11075539082521572,6.045781265129335e-05,0.0,0.0019317269325256348,0.03976292535662651,0.4006464183330536,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Toni Braxton,7,2,Percent,23.0,10.4%,0.0%-98.6%,11.879364013671875,3.0,0.11075539082521572,6.045781265129335e-05,0.0,0.0019317269325256348,0.03976292535662651,0.4006464183330536,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Lance Bass,7,2,Percent,20.0,9.0%,0.0%-98.6%,8.845222473144531,5.0,0.11075539082521572,6.045781265129335e-05,0.0,0.0019317269325256348,0.03976292535662651,0.4006464183330536,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Kim Kardashian,7,2,Percent,17.0,7.7%,0.0%-11.4%,5.764958381652832,7.0,0.11075539082521572,6.045781265129335e-05,0.0,0.0019317269325256348,0.03976292535662651,0.4006464183330536,Eliminated (Place 11),80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Rocco DiSpirito,7,2,Percent,16.0,7.2%,0.5%-99.1%,5.313740253448486,8.0,0.11075539082521572,6.045781265129335e-05,0.0,0.0019317269325256348,0.03976292535662651,0.4006464183330536,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Brooke Burke,7,2,Percent,24.0,10.9%,0.0%-98.6%,12.863358497619629,2.0,0.11075539082521572,6.045781265129335e-05,0.0,0.0019317269325256348,0.03976292535662651,0.4006464183330536,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Cloris Leachman,7,3,Percent,16.0,8.0%,0.0%-100.0%,4.4629926681518555,7.0,0.09301156252622604,0.0,0.0,0.0014639496803283691,0.04111362248659134,0.33439719676971436,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Susan Lucci,7,3,Percent,21.0,10.6%,0.0%-100.0%,9.6693696975708,5.0,0.09301156252622604,0.0,0.0,0.0014639496803283691,0.04111362248659134,0.33439719676971436,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
