CelebrityName,Season,Week,RuleType,JudgeScore,JudgeScore_Normalization,Possible_Audience_Vote_Range,Predicted_Audience_Percent,Predicted_Audience_Rank,Loss_Total,Loss_Constraint,Loss_Smooth,Loss_Corr,Loss_Reg,Loss_Diversity,Loss_Trend,Status,Config_alpha_constraint,Config_beta_smooth,Config_gamma_corr,Config_delta_reg,Config_epsilon_diversity,Config_zeta_trend,Config_steps,Config_lr,Config_temperature,Config_rank_tau,Config_reg_type,Config_normal_sigma_factor,Config_longtail_alpha,Config_longtail_shift,Config_constraint_margin,Config_diversity_sigma,Percent_Predict,Rank_predict
Lance Bass,7,2,Percent,20.0,9.0%,0.7%-15.8%,5.82,8.0,3.8233026755369792,0.0,3.387174729141407e-05,0.3336327075958252,0.1715454459190368,0.2032625675201416,0.1426994800567627,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Kim Kardashian,7,2,Percent,17.0,7.7%,0.1%-11.5%,0.75,11.0,3.8233026755369792,0.0,3.387174729141407e-05,0.3336327075958252,0.1715454459190368,0.2032625675201416,0.1426994800567627,Eliminated (Place 11),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Rocco DiSpirito,7,2,Percent,16.0,7.2%,0.3%-12.1%,2.49,10.0,3.8233026755369792,0.0,3.387174729141407e-05,0.3336327075958252,0.1715454459190368,0.2032625675201416,0.1426994800567627,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Brooke Burke,7,2,Percent,24.0,10.9%,7.1%-34.7%,17.12,2.0,3.8233026755369792,0.0,3.387174729141407e-05,0.3336327075958252,0.1715454459190368,0.2032625675201416,0.1426994800567627,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Cloris Leachman,7,3,Percent,16.0,8.0%,1.3%-26.5%,9.46,5.0,5.1503501534461975,0.0,0.0,0.4898629188537597,0.1611886322498321,0.1582540720701217,0.249377429485321,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Susan Lucci,7,3,Percent,21.0,10.6%,2.4%-36.2%,15.35,3.0,5.1503501534461975,0.0,0.0,0.4898629188537597,0.1611886322498321,0.1582540720701217,0.249377429485321,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Cody Linley,7,3,Percent,21.0,10.6%,0.5%-21.4%,4.24,8.0,5.1503501534461975,0.0,0.0,0.4898629188537597,0.1611886322498321,0.1582540720701217,0.249377429485321,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Maurice Greene,7,3,Percent,24.0,12.1%,0.9%-22.0%,6.92,6.0,5.1503501534461975,0.0,0.0,0.4898629188537597,0.1611886322498321,0.1582540720701217,0.249377429485321,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Warren Sapp,7,3,Percent,25.0,12.6%,1.6%-28.1%,11.23,4.0,5.1503501534461975,0.0,0.0,0.4898629188537597,0.1611886322498321,0.1582540720701217,0.249377429485321,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Toni Braxton,7,3,Percent,22.0,11.1%,3.5%-48.7%,20.41,2.0,5.1503501534461975,0.0,0.0,0.4898629188537597,0.1611886322498321,0.1582540720701217,0.249377429485321,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Lance Bass,7,3,Percent,22.0,11.1%,0.6%-20.3%,5.47,7.0,5.1503501534461975,0.0,0.0,0.4898629188537597,0.1611886322498321,0.1582540720701217,0.249377429485321,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Rocco DiSpirito,7,3,Percent,20.0,10.1%,0.2%-17.0%,1.77,9.0,5.1503501534461975,0.0,0.0,0.4898629188537597,0.1611886322498321,0.1582540720701217,0.249377429485321,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Brooke Burke,7,3,Percent,28.0,14.1%,10.5%-62.0%,25.16,1.0,5.1503501534461975,0.0,0.0,0.4898629188537597,0.1611886322498321,0.1582540720701217,0.249377429485321,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Cloris Leachman,7,4,Percent,22.0,10.8%,3.8%-27.4%,14.48,4.0,3.188497553230718,0.0,4.930615887133172e-06,0.2490932941436767,0.1521564722061157,0.166119173169136,0.1391752362251281,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Susan Lucci,7,4,Percent,24.0,11.8%,6.2%-30.5%,17.75,2.0,3.188497553230718,0.0,4.930615887133172e-06,0.2490932941436767,0.1521564722061157,0.166119173169136,0.1391752362251281,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Cody Linley,7,4,Percent,23.0,11.3%,1.2%-17.5%,8.9,6.0,3.188497553230718,0.0,4.930615887133172e-06,0.2490932941436767,0.1521564722061157,0.166119173169136,0.1391752362251281,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Maurice Greene,7,4,Percent,20.0,9.9%,0.3%-10.0%,2.79,8.0,3.188497553230718,0.0,4.930615887133172e-06,0.2490932941436767,0.1521564722061157,0.166119173169136,0.1391752362251281,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Warren Sapp,7,4,Percent,22.0,10.8%,0.8%-14.9%,6.3,7.0,3.188497553230718,0.0,4.930615887133172e-06,0.2490932941436767,0.1521564722061157,0.166119173169136,0.1391752362251281,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Toni Braxton,7,4,Percent,22.0,10.8%,6.4%-31.1%,16.66,3.0,3.188497553230718,0.0,4.930615887133172e-06,0.2490932941436767,0.1521564722061157,0.166119173169136,0.1391752362251281,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Lance Bass,7,4,Percent,26.0,12.8%,1.7%-22.0%,11.52,5.0,3.188497553230718,0.0,4.930615887133172e-06,0.2490932941436767,0.1521564722061157,0.166119173169136,0.1391752362251281,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Rocco DiSpirito,7,4,Percent,18.0,8.9%,0.1%-9.0%,1.21,9.0,3.188497553230718,0.0,4.930615887133172e-06,0.2490932941436767,0.1521564722061157,0.166119173169136,0.1391752362251281,Eliminated (Place 9),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Brooke Burke,7,4,Percent,26.0,12.8%,10.3%-33.5%,20.38,1.0,3.188497553230718,0.0,4.930615887133172e-06,0.2490932941436767,0.1521564722061157,0.166119173169136,0.1391752362251281,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Cloris Leachman,7,5,Percent,21.0,10.8%,1.9%-32.3%,12.6,5.0,6.649588495492935,0.0017579020932316,0.0,0.545337438583374,0.0361488386988639,0.2971731424331665,0.3200020790100097,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Susan Lucci,7,5,Percent,22.0,11.3%,2.0%-32.5%,13.39,4.0,6.649588495492935,0.0017579020932316,0.0,0.545337438583374,0.0361488386988639,0.2971731424331665,0.3200020790100097,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Cody Linley,7,5,Percent,28.0,14.4%,2.2%-32.1%,14.05,3.0,6.649588495492935,0.0017579020932316,0.0,0.545337438583374,0.0361488386988639,0.2971731424331665,0.3200020790100097,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Maurice Greene,7,5,Percent,27.0,13.8%,1.4%-21.7%,9.88,6.0,6.649588495492935,0.0017579020932316,0.0,0.545337438583374,0.0361488386988639,0.2971731424331665,0.3200020790100097,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Warren Sapp,7,5,Percent,25.0,12.8%,1.2%-20.8%,8.97,7.0,6.649588495492935,0.0017579020932316,0.0,0.545337438583374,0.0361488386988639,0.2971731424331665,0.3200020790100097,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Toni Braxton,7,5,Percent,22.0,11.3%,2.4%-21.1%,14.95,2.0,6.649588495492935,0.0017579020932316,0.0,0.545337438583374,0.0361488386988639,0.2971731424331665,0.3200020790100097,Eliminated (Place 8),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Lance Bass,7,5,Percent,21.0,10.8%,0.8%-14.9%,6.18,8.0,6.649588495492935,0.0017579020932316,0.0,0.545337438583374,0.0361488386988639,0.2971731424331665,0.3200020790100097,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Brooke Burke,7,5,Percent,29.0,14.9%,11.6%-73.3%,19.98,1.0,6.649588495492935,0.0017579020932316,0.0,0.545337438583374,0.0361488386988639,0.2971731424331665,0.3200020790100097,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Cloris Leachman,7,6,Percent,15.0,9.4%,1.1%-21.4%,8.44,6.0,5.95328246603458,6.689173460472375e-05,7.240757258841768e-05,0.455808937549591,0.1148767694830894,0.1198412626981735,0.4212639927864074,Eliminated (Place 7),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Susan Lucci,7,6,Percent,23.0,14.4%,3.8%-58.0%,22.59,2.0,5.95328246603458,6.689173460472375e-05,7.240757258841768e-05,0.455808937549591,0.1148767694830894,0.1198412626981735,0.4212639927864074,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Cody Linley,7,6,Percent,23.0,14.4%,1.4%-29.6%,10.25,5.0,5.95328246603458,6.689173460472375e-05,7.240757258841768e-05,0.455808937549591,0.1148767694830894,0.1198412626981735,0.4212639927864074,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Maurice Greene,7,6,Percent,21.0,13.1%,0.3%-16.4%,2.69,7.0,5.95328246603458,6.689173460472375e-05,7.240757258841768e-05,0.455808937549591,0.1148767694830894,0.1198412626981735,0.4212639927864074,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Warren Sapp,7,6,Percent,25.0,15.6%,1.7%-29.7%,12.46,4.0,5.95328246603458,6.689173460472375e-05,7.240757258841768e-05,0.455808937549591,0.1148767694830894,0.1198412626981735,0.4212639927864074,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Lance Bass,7,6,Percent,27.0,16.9%,2.3%-36.1%,15.73,3.0,5.95328246603458,6.689173460472375e-05,7.240757258841768e-05,0.455808937549591,0.1148767694830894,0.1198412626981735,0.4212639927864074,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Brooke Burke,7,6,Percent,26.0,16.2%,11.4%-73.3%,27.84,1.0,5.95328246603458,6.689173460472375e-05,7.240757258841768e-05,0.455808937549591,0.1148767694830894,0.1198412626981735,0.4212639927864074,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Susan Lucci,7,7,Percent,24.0,16.3%,14.2%-21.8%,18.86,2.0,3.4959967397153378,0.0025330821517854,0.0,0.0995140671730041,0.0154812783002853,0.3062762022018432,0.1620599031448364,Eliminated (Place 6),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Cody Linley,7,7,Percent,22.0,15.0%,6.8%-19.0%,14.05,5.0,3.4959967397153378,0.0025330821517854,0.0,0.0995140671730041,0.0154812783002853,0.3062762022018432,0.1620599031448364,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Maurice Greene,7,7,Percent,25.0,17.0%,6.0%-18.6%,14.68,4.0,3.4959967397153378,0.0025330821517854,0.0,0.0995140671730041,0.0154812783002853,0.3062762022018432,0.1620599031448364,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Warren Sapp,7,7,Percent,21.0,14.3%,4.9%-16.5%,12.4,6.0,3.4959967397153378,0.0025330821517854,0.0,0.0995140671730041,0.0154812783002853,0.3062762022018432,0.1620599031448364,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Lance Bass,7,7,Percent,25.0,17.0%,8.3%-20.4%,16.15,3.0,3.4959967397153378,0.0025330821517854,0.0,0.0995140671730041,0.0154812783002853,0.3062762022018432,0.1620599031448364,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Brooke Burke,7,7,Percent,30.0,20.4%,20.3%-57.2%,23.87,1.0,3.4959967397153378,0.0025330821517854,0.0,0.0995140671730041,0.0154812783002853,0.3062762022018432,0.1620599031448364,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Cody Linley,7,8,Percent,24.0,18.8%,1.6%-21.3%,12.57,4.0,1.5074261536065023,0.0,2.214676351286471e-05,0.0938720703125,0.1030650213360786,0.0578036792576313,0.0858078002929687,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Maurice Greene,7,8,Percent,24.0,18.8%,0.7%-12.3%,6.29,5.0,1.5074261536065023,0.0,2.214676351286471e-05,0.0938720703125,0.1030650213360786,0.0578036792576313,0.0858078002929687,Eliminated (Place 5),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Warren Sapp,7,8,Percent,27.0,21.2%,14.5%-31.5%,23.08,2.0,1.5074261536065023,0.0,2.214676351286471e-05,0.0938720703125,0.1030650213360786,0.0578036792576313,0.0858078002929687,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Lance Bass,7,8,Percent,25.0,19.6%,2.3%-24.0%,16.44,3.0,1.5074261536065023,0.0,2.214676351286471e-05,0.0938720703125,0.1030650213360786,0.0578036792576313,0.0858078002929687,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Brooke Burke,7,8,Percent,27.5,21.6%,35.4%-65.2%,41.62,1.0,1.5074261536065023,0.0,2.214676351286471e-05,0.0938720703125,0.1030650213360786,0.0578036792576313,0.0858078002929687,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Cody Linley,7,9,Percent,23.0,22.9%,1.3%-22.6%,11.16,4.0,4.982721410691738,0.0,0.0,0.5797687768936157,0.065712422132492,0.0300348456948995,0.2617590427398681,Eliminated (Place 4),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Warren Sapp,7,9,Percent,24.5,24.4%,2.3%-29.3%,16.93,3.0,4.982721410691738,0.0,0.0,0.5797687768936157,0.065712422132492,0.0300348456948995,0.2617590427398681,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Lance Bass,7,9,Percent,28.5,28.4%,5.2%-53.1%,30.03,2.0,4.982721410691738,0.0,0.0,0.5797687768936157,0.065712422132492,0.0300348456948995,0.2617590427398681,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Brooke Burke,7,9,Percent,24.5,24.4%,28.8%-86.0%,41.88,1.0,4.982721410691738,0.0,0.0,0.5797687768936157,0.065712422132492,0.0300348456948995,0.2617590427398681,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Warren Sapp,7,10,Percent,27.5,32.4%,4.7%-31.7%,27.63,2.0,1.3684536516666412,0.0,0.0,-1.1920928955078125e-07,0.0131143480539321,0.3355565965175628,-1.1920928955078125e-07,Eliminated (Place 2),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Lance Bass,7,10,Percent,27.5,32.4%,4.8%-31.7%,27.63,2.0,1.3684536516666412,0.0,0.0,-1.1920928955078125e-07,0.0131143480539321,0.3355565965175628,-1.1920928955078125e-07,Eliminated (Place 3),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Brooke Burke,7,10,Percent,30.0,35.3%,38.4%-86.9%,44.74,1.0,1.3684536516666412,0.0,0.0,-1.1920928955078125e-07,0.0131143480539321,0.3355565965175628,-1.1920928955078125e-07,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Ralph Macchio,12,1,Percent,24.0,11.6%,1.9%-31.6%,12.59,3.0,5.159552037715912,0.0,0.0,0.4348436594009399,0.1912078559398651,0.2134487628936767,0.2498747110366821,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Chelsea Kane,12,1,Percent,21.0,10.1%,1.2%-24.5%,8.76,5.0,5.159552037715912,0.0,0.0,0.4348436594009399,0.1912078559398651,0.2134487628936767,0.2498747110366821,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Kirstie Alley,12,1,Percent,23.0,11.1%,2.6%-38.1%,15.93,2.0,5.159552037715912,0.0,0.0,0.4348436594009399,0.1912078559398651,0.2134487628936767,0.2498747110366821,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Hines Ward,12,1,Percent,21.0,10.1%,1.0%-24.9%,7.68,6.0,5.159552037715912,0.0,0.0,0.4348436594009399,0.1912078559398651,0.2134487628936767,0.2498747110366821,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Sugar Ray Leonard,12,1,Percent,17.0,8.2%,0.4%-20.5%,3.86,9.0,5.159552037715912,0.0,0.0,0.4348436594009399,0.1912078559398651,0.2134487628936767,0.2498747110366821,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Chris Jericho,12,1,Percent,19.0,9.2%,0.8%-23.2%,6.33,7.0,5.159552037715912,0.0,0.0,0.4348436594009399,0.1912078559398651,0.2134487628936767,0.2498747110366821,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Petra Nemcova,12,1,Percent,18.0,8.7%,0.6%-46.1%,5.14,8.0,5.159552037715912,0.0,0.0,0.4348436594009399,0.1912078559398651,0.2134487628936767,0.2498747110366821,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Mike Catherwood,12,1,Percent,13.0,6.3%,0.1%-15.8%,0.99,11.0,5.159552037715912,0.0,0.0,0.4348436594009399,0.1912078559398651,0.2134487628936767,0.2498747110366821,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Romeo,12,1,Percent,19.0,9.2%,13.0%-69.5%,25.69,1.0,5.159552037715912,0.0,0.0,0.4348436594009399,0.1912078559398651,0.2134487628936767,0.2498747110366821,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Wendy Williams,12,1,Percent,14.0,6.8%,0.3%-19.2%,2.62,10.0,5.159552037715912,0.0,0.0,0.4348436594009399,0.1912078559398651,0.2134487628936767,0.2498747110366821,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Kendra Wilkinson,12,1,Percent,18.0,8.7%,1.5%-27.9%,10.41,4.0,5.159552037715912,0.0,0.0,0.4348436594009399,0.1912078559398651,0.2134487628936767,0.2498747110366821,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Ralph Macchio,12,2,Percent,21.0,9.7%,1.0%-22.1%,7.87,6.0,3.677211821093806,9.576589218340814e-05,3.700626257341355e-05,0.2513952851295471,0.1951591968536377,0.2371464371681213,0.151176631450653,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Chelsea Kane,12,2,Percent,18.0,8.3%,0.3%-16.2%,2.73,10.0,3.677211821093806,9.576589218340814e-05,3.700626257341355e-05,0.2513952851295471,0.1951591968536377,0.2371464371681213,0.151176631450653,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Kirstie Alley,12,2,Percent,20.0,9.3%,1.8%-26.0%,11.94,3.0,3.677211821093806,9.576589218340814e-05,3.700626257341355e-05,0.2513952851295471,0.1951591968536377,0.2371464371681213,0.151176631450653,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Hines Ward,12,2,Percent,23.0,10.6%,1.5%-25.0%,10.64,4.0,3.677211821093806,9.576589218340814e-05,3.700626257341355e-05,0.2513952851295471,0.1951591968536377,0.2371464371681213,0.151176631450653,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Sugar Ray Leonard,12,2,Percent,17.0,7.9%,0.4%-16.5%,3.57,9.0,3.677211821093806,9.576589218340814e-05,3.700626257341355e-05,0.2513952851295471,0.1951591968536377,0.2371464371681213,0.151176631450653,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Chris Jericho,12,2,Percent,23.0,10.6%,2.0%-25.7%,13.21,2.0,3.677211821093806,9.576589218340814e-05,3.700626257341355e-05,0.2513952851295471,0.1951591968536377,0.2371464371681213,0.151176631450653,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Petra Nemcova,12,2,Percent,18.0,8.3%,0.1%-23.9%,1.4,11.0,3.677211821093806,9.576589218340814e-05,3.700626257341355e-05,0.2513952851295471,0.1951591968536377,0.2371464371681213,0.151176631450653,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Mike Catherwood,12,2,Percent,17.0,7.9%,0.5%-11.6%,4.51,8.0,3.677211821093806,9.576589218340814e-05,3.700626257341355e-05,0.2513952851295471,0.1951591968536377,0.2371464371681213,0.151176631450653,Eliminated (Place 11),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Romeo,12,2,Percent,23.0,10.6%,18.7%-66.8%,28.55,1.0,3.677211821093806,9.576589218340814e-05,3.700626257341355e-05,0.2513952851295471,0.1951591968536377,0.2371464371681213,0.151176631450653,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Wendy Williams,12,2,Percent,17.0,7.9%,0.8%-19.4%,6.16,7.0,3.677211821093806,9.576589218340814e-05,3.700626257341355e-05,0.2513952851295471,0.1951591968536377,0.2371464371681213,0.151176631450653,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Kendra Wilkinson,12,2,Percent,19.0,8.8%,1.3%-22.9%,9.41,5.0,3.677211821093806,9.576589218340814e-05,3.700626257341355e-05,0.2513952851295471,0.1951591968536377,0.2371464371681213,0.151176631450653,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Ralph Macchio,12,3,Percent,21.0,9.8%,0.6%-17.3%,5.21,7.0,4.863212515541818,0.0,5.575671093538404e-05,0.5151818990707397,0.1913408488035202,0.217496320605278,0.1477812528610229,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Chelsea Kane,12,3,Percent,23.0,10.7%,0.8%-20.0%,6.67,6.0,4.863212515541818,0.0,5.575671093538404e-05,0.5151818990707397,0.1913408488035202,0.217496320605278,0.1477812528610229,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Kirstie Alley,12,3,Percent,21.0,9.8%,1.3%-22.6%,9.77,4.0,4.863212515541818,0.0,5.575671093538404e-05,0.5151818990707397,0.1913408488035202,0.217496320605278,0.1477812528610229,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Hines Ward,12,3,Percent,25.0,11.7%,1.1%-23.1%,8.19,5.0,4.863212515541818,0.0,5.575671093538404e-05,0.5151818990707397,0.1913408488035202,0.217496320605278,0.1477812528610229,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Sugar Ray Leonard,12,3,Percent,20.0,9.3%,0.4%-17.1%,3.58,9.0,4.863212515541818,0.0,5.575671093538404e-05,0.5151818990707397,0.1913408488035202,0.217496320605278,0.1477812528610229,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
