CelebrityName,Season,Week,RuleType,JudgeScore,JudgeScore_Normalization,Possible_Audience_Vote_Range,Predicted_Audience_Percent,Predicted_Audience_Rank,Loss_Total,Loss_Constraint,Loss_Smooth,Loss_Corr,Loss_Reg,Status
David Alan Grier,8,5,Percent,22.0,10.5%,0.0%-11.7%,7.072913646697998,6.0,0.07154271565377712,0.00022410077508538961,0.0,0.017825961112976074,0.0596478208899498,Eliminated (Place 9)
Lawrence Taylor,8,5,Percent,20.0,9.5%,1.0%-97.6%,6.752361297607422,7.0,0.07154271565377712,0.00022410077508538961,0.0,0.017825961112976074,0.0596478208899498,Safe
Ty Murray,8,5,Percent,21.0,10.0%,0.5%-97.1%,8.209104537963867,5.0,0.07154271565377712,0.00022410077508538961,0.0,0.017825961112976074,0.0596478208899498,Safe
Shawn Johnson,8,5,Percent,26.0,12.4%,0.0%-96.7%,14.846139907836914,2.0,0.07154271565377712,0.00022410077508538961,0.0,0.017825961112976074,0.0596478208899498,Safe
Chuck Wicks,8,5,Percent,23.0,11.0%,0.0%-96.7%,10.859460830688477,4.0,0.07154271565377712,0.00022410077508538961,0.0,0.017825961112976074,0.0596478208899498,Safe
Lil' Kim,8,5,Percent,26.0,12.4%,0.0%-96.7%,14.846139907836914,2.0,0.07154271565377712,0.00022410077508538961,0.0,0.017825961112976074,0.0596478208899498,Safe
Steve-O,8,5,Percent,18.0,8.6%,1.9%-98.6%,4.939394950866699,8.0,0.07154271565377712,0.00022410077508538961,0.0,0.017825961112976074,0.0596478208899498,Safe
Melissa Rycroft,8,5,Percent,25.0,11.9%,0.0%-96.7%,13.483638763427734,3.0,0.07154271565377712,0.00022410077508538961,0.0,0.017825961112976074,0.0596478208899498,Safe
Gilles Marini,8,6,Percent,26.0,14.0%,0.0%-100.0%,14.587165832519531,3.0,0.015471085160970687,0.0,0.0,0.0004253387451171875,0.0250762440264225,Safe
Lawrence Taylor,8,6,Percent,22.0,11.8%,0.0%-100.0%,11.59642219543457,5.0,0.015471085160970687,0.0,0.0,0.0004253387451171875,0.0250762440264225,Safe
Ty Murray,8,6,Percent,18.0,9.7%,0.0%-100.0%,8.631689071655273,6.0,0.015471085160970687,0.0,0.0,0.0004253387451171875,0.0250762440264225,Safe
Shawn Johnson,8,6,Percent,26.0,14.0%,0.0%-100.0%,14.587165832519531,3.0,0.015471085160970687,0.0,0.0,0.0004253387451171875,0.0250762440264225,Safe
Chuck Wicks,8,6,Percent,23.0,12.4%,0.0%-100.0%,12.354788780212402,4.0,0.015471085160970687,0.0,0.0,0.0004253387451171875,0.0250762440264225,Safe
Lil' Kim,8,6,Percent,28.0,15.1%,0.0%-100.0%,16.120765686035156,1.0,0.015471085160970687,0.0,0.0,0.0004253387451171875,0.0250762440264225,Safe
Steve-O,8,6,Percent,16.0,8.6%,0.0%-16.4%,6.75046968460083,7.0,0.015471085160970687,0.0,0.0,0.0004253387451171875,0.0250762440264225,Eliminated (Place 8)
Melissa Rycroft,8,6,Percent,27.0,14.5%,0.0%-100.0%,15.371528625488281,2.0,0.015471085160970687,0.0,0.0,0.0004253387451171875,0.0250762440264225,Safe
Gilles Marini,8,7,Percent,27.0,14.8%,0.0%-100.0%,15.14720344543457,3.0,0.005064783431589603,0.0,0.0,1.9669532775878906e-06,0.00843802746385336,Safe
Lawrence Taylor,8,7,Percent,21.0,11.5%,0.0%-17.0%,9.984495162963867,6.0,0.005064783431589603,0.0,0.0,1.9669532775878906e-06,0.00843802746385336,Eliminated (Place 7)
Ty Murray,8,7,Percent,24.0,13.2%,0.0%-100.0%,12.563167572021484,5.0,0.005064783431589603,0.0,0.0,1.9669532775878906e-06,0.00843802746385336,Safe
Shawn Johnson,8,7,Percent,28.0,15.4%,0.0%-100.0%,16.001201629638672,2.0,0.005064783431589603,0.0,0.0,1.9669532775878906e-06,0.00843802746385336,Safe
Chuck Wicks,8,7,Percent,27.0,14.8%,0.0%-100.0%,15.14720344543457,3.0,0.005064783431589603,0.0,0.0,1.9669532775878906e-06,0.00843802746385336,Safe
Lil' Kim,8,7,Percent,26.0,14.3%,0.0%-100.0%,14.294743537902832,4.0,0.005064783431589603,0.0,0.0,1.9669532775878906e-06,0.00843802746385336,Safe
Melissa Rycroft,8,7,Percent,29.0,15.9%,0.0%-100.0%,16.861984252929688,1.0,0.005064783431589603,0.0,0.0,1.9669532775878906e-06,0.00843802746385336,Safe
Gilles Marini,8,8,Percent,27.5,17.6%,0.0%-98.4%,17.297182083129883,2.0,0.011394214094616472,0.00013683110591955483,0.0,0.0001258254051208496,0.0005365003598853946,Safe
Ty Murray,8,8,Percent,26.0,16.7%,0.0%-98.4%,16.668609619140625,3.0,0.011394214094616472,0.00013683110591955483,0.0,0.0001258254051208496,0.0005365003598853946,Safe
Shawn Johnson,8,8,Percent,26.0,16.7%,0.0%-98.4%,16.668609619140625,3.0,0.011394214094616472,0.00013683110591955483,0.0,0.0001258254051208496,0.0005365003598853946,Safe
Chuck Wicks,8,8,Percent,25.5,16.3%,0.0%-17.0%,16.43446159362793,4.0,0.011394214094616472,0.00013683110591955483,0.0,0.0001258254051208496,0.0005365003598853946,Eliminated (Place 6)
Lil' Kim,8,8,Percent,28.0,17.9%,0.0%-98.4%,17.509748458862305,1.0,0.011394214094616472,0.00013683110591955483,0.0,0.0001258254051208496,0.0005365003598853946,Safe
Melissa Rycroft,8,8,Percent,23.0,14.7%,1.6%-100.0%,15.421392440795898,5.0,0.011394214094616472,0.00013683110591955483,0.0,0.0001258254051208496,0.0005365003598853946,Safe
Gilles Marini,8,9,Percent,28.0,21.0%,0.0%-97.8%,28.793838500976562,2.0,0.21534269899129865,0.00022983242524787784,0.00044974731281399727,0.10544627904891968,0.1510172188282013,Safe
Ty Murray,8,9,Percent,23.0,17.2%,2.2%-100.0%,4.803952217102051,4.0,0.21534269899129865,0.00022983242524787784,0.00044974731281399727,0.10544627904891968,0.1510172188282013,Safe
Shawn Johnson,8,9,Percent,28.0,21.0%,0.0%-97.8%,28.793838500976562,2.0,0.21534269899129865,0.00022983242524787784,0.00044974731281399727,0.10544627904891968,0.1510172188282013,Safe
Lil' Kim,8,9,Percent,26.0,19.5%,0.0%-20.5%,5.588807106018066,3.0,0.21534269899129865,0.00022983242524787784,0.00044974731281399727,0.10544627904891968,0.1510172188282013,Eliminated (Place 5)
Melissa Rycroft,8,9,Percent,28.5,21.3%,0.0%-97.8%,32.019561767578125,1.0,0.21534269899129865,0.00022983242524787784,0.00044974731281399727,0.10544627904891968,0.1510172188282013,Safe
Gilles Marini,8,10,Percent,30.0,27.4%,0.0%-100.0%,29.159311294555664,1.0,0.003306751325726509,0.0,0.0,5.900859832763672e-06,0.005501417443156242,Safe
Ty Murray,8,10,Percent,24.0,21.9%,0.0%-28.1%,19.679405212402344,4.0,0.003306751325726509,0.0,0.0,5.900859832763672e-06,0.005501417443156242,Eliminated (Place 4)
Shawn Johnson,8,10,Percent,28.0,25.6%,0.0%-100.0%,25.97458267211914,2.0,0.003306751325726509,0.0,0.0,5.900859832763672e-06,0.005501417443156242,Safe
Melissa Rycroft,8,10,Percent,27.5,25.1%,0.0%-100.0%,25.186702728271484,3.0,0.003306751325726509,0.0,0.0,5.900859832763672e-06,0.005501417443156242,Safe
Gilles Marini,8,11,Percent,29.0,33.1%,0.0%-50.6%,33.02899169921875,2.0,0.0001718856394290924,0.0,0.0,1.1920928955078125e-07,0.0002862773835659027,Eliminated (Place 2)
Shawn Johnson,8,11,Percent,30.0,34.3%,32.4%-100.0%,34.85752487182617,1.0,0.0001718856394290924,0.0,0.0,1.1920928955078125e-07,0.0002862773835659027,Safe
Melissa Rycroft,8,11,Percent,28.5,32.6%,0.0%-50.9%,32.11348342895508,3.0,0.0001718856394290924,0.0,0.0,1.1920928955078125e-07,0.0002862773835659027,Eliminated (Place 3)
Ashley Hamiliton,9,1,Percent,18.9999,4.7%,0.0%-8.9%,4.587284564971924,12.0,0.012817486003041266,0.0,0.0,0.0014132261276245117,0.01900709979236126,Eliminated (Place 16)
Debi Mazar,9,1,Percent,22.0,5.4%,0.0%-100.0%,5.475986480712891,9.0,0.012817486003041266,0.0,0.0,0.0014132261276245117,0.01900709979236126,Safe
Melissa Joan Hart,9,1,Percent,24.0,5.9%,0.0%-100.0%,5.827972412109375,8.0,0.012817486003041266,0.0,0.0,0.0014132261276245117,0.01900709979236126,Safe
Mark Dacascos,9,1,Percent,28.9998,7.1%,0.0%-100.0%,7.097616672515869,6.0,0.012817486003041266,0.0,0.0,0.0014132261276245117,0.01900709979236126,Safe
Chuck Liddell,9,1,Percent,22.0,5.4%,0.0%-100.0%,5.475986480712891,9.0,0.012817486003041266,0.0,0.0,0.0014132261276245117,0.01900709979236126,Safe
Natalie Coughlin,9,1,Percent,26.9998,6.7%,0.0%-100.0%,6.6180877685546875,7.0,0.012817486003041266,0.0,0.0,0.0014132261276245117,0.01900709979236126,Safe
Louie Vito,9,1,Percent,26.9998,6.7%,0.0%-100.0%,6.6180877685546875,7.0,0.012817486003041266,0.0,0.0,0.0014132261276245117,0.01900709979236126,Safe
Michael Irvin,9,1,Percent,19.0,4.7%,0.0%-100.0%,4.601623058319092,11.0,0.012817486003041266,0.0,0.0,0.0014132261276245117,0.01900709979236126,Safe
Joanna Krupa,9,1,Percent,33.9999,8.4%,0.0%-100.0%,8.514451026916504,1.0,0.012817486003041266,0.0,0.0,0.0014132261276245117,0.01900709979236126,Safe
Kathy Ireland,9,1,Percent,19.9999,4.9%,0.0%-100.0%,4.844681739807129,10.0,0.012817486003041266,0.0,0.0,0.0014132261276245117,0.01900709979236126,Safe
Tom DeLay,9,1,Percent,19.9999,4.9%,0.0%-100.0%,4.844681739807129,10.0,0.012817486003041266,0.0,0.0,0.0014132261276245117,0.01900709979236126,Withdrew
Macy Gray,9,1,Percent,18.9999,4.7%,0.0%-8.9%,4.587284564971924,12.0,0.012817486003041266,0.0,0.0,0.0014132261276245117,0.01900709979236126,Eliminated (Place 15)
Aaron Carter,9,1,Percent,31.999899999999997,7.9%,0.0%-100.0%,8.141027450561523,2.0,0.012817486003041266,0.0,0.0,0.0014132261276245117,0.01900709979236126,Safe
Mya,9,1,Percent,30.999899999999997,7.6%,0.0%-100.0%,7.670602798461914,3.0,0.012817486003041266,0.0,0.0,0.0014132261276245117,0.01900709979236126,Safe
Donny Osmond,9,1,Percent,29.999899999999997,7.4%,0.0%-100.0%,7.478299140930176,5.0,0.012817486003041266,0.0,0.0,0.0014132261276245117,0.01900709979236126,Safe
Kelly Osbourne,9,1,Percent,30.9998,7.6%,0.0%-100.0%,7.616328239440918,4.0,0.012817486003041266,0.0,0.0,0.0014132261276245117,0.01900709979236126,Safe
Debi Mazar,9,2,Percent,21.0,7.1%,0.0%-100.0%,7.21307897567749,3.0,0.00968705527484417,0.0,0.0,0.0006847381591796875,0.015003861859440804,Safe
Melissa Joan Hart,9,2,Percent,19.0,6.5%,0.0%-100.0%,6.151670455932617,5.0,0.00968705527484417,0.0,0.0,0.0006847381591796875,0.015003861859440804,Safe
Mark Dacascos,9,2,Percent,21.0,7.1%,0.0%-100.0%,7.21307897567749,3.0,0.00968705527484417,0.0,0.0,0.0006847381591796875,0.015003861859440804,Safe
Chuck Liddell,9,2,Percent,19.0,6.5%,0.0%-100.0%,6.151670455932617,5.0,0.00968705527484417,0.0,0.0,0.0006847381591796875,0.015003861859440804,Safe
Natalie Coughlin,9,2,Percent,21.0,7.1%,0.0%-100.0%,7.21307897567749,3.0,0.00968705527484417,0.0,0.0,0.0006847381591796875,0.015003861859440804,Safe
Louie Vito,9,2,Percent,19.0,6.5%,0.0%-100.0%,6.151670455932617,5.0,0.00968705527484417,0.0,0.0,0.0006847381591796875,0.015003861859440804,Safe
Michael Irvin,9,2,Percent,20.0,6.8%,0.0%-100.0%,6.581857204437256,4.0,0.00968705527484417,0.0,0.0,0.0006847381591796875,0.015003861859440804,Safe
Joanna Krupa,9,2,Percent,20.0,6.8%,0.0%-100.0%,6.581857204437256,4.0,0.00968705527484417,0.0,0.0,0.0006847381591796875,0.015003861859440804,Safe
Kathy Ireland,9,2,Percent,18.0,6.1%,0.0%-8.8%,5.751091003417969,6.0,0.00968705527484417,0.0,0.0,0.0006847381591796875,0.015003861859440804,Eliminated (Place 14)
Tom DeLay,9,2,Percent,18.0,6.1%,0.0%-100.0%,5.751091003417969,6.0,0.00968705527484417,0.0,0.0,0.0006847381591796875,0.015003861859440804,Withdrew
Aaron Carter,9,2,Percent,27.0,9.2%,0.0%-100.0%,9.99559497833252,1.0,0.00968705527484417,0.0,0.0,0.0006847381591796875,0.015003861859440804,Safe
Mya,9,2,Percent,27.0,9.2%,0.0%-100.0%,9.99559497833252,1.0,0.00968705527484417,0.0,0.0,0.0006847381591796875,0.015003861859440804,Safe
Donny Osmond,9,2,Percent,25.0,8.5%,0.0%-100.0%,9.096999168395996,2.0,0.00968705527484417,0.0,0.0,0.0006847381591796875,0.015003861859440804,Safe
Kelly Osbourne,9,2,Percent,19.0,6.5%,0.0%-100.0%,6.151670455932617,5.0,0.00968705527484417,0.0,0.0,0.0006847381591796875,0.015003861859440804,Safe
Debi Mazar,9,3,Percent,17.0,6.6%,0.0%-9.6%,7.353428840637207,10.0,0.0024336602713447065,2.0730642063426785e-05,0.0,5.543231964111328e-06,0.0012827761238440871,Eliminated (Place 12)
Melissa Joan Hart,9,3,Percent,19.0,7.4%,0.0%-98.8%,7.591320037841797,7.0,0.0024336602713447065,2.0730642063426785e-05,0.0,5.543231964111328e-06,0.0012827761238440871,Safe
Mark Dacascos,9,3,Percent,18.0,7.0%,0.0%-98.8%,7.473639488220215,8.0,0.0024336602713447065,2.0730642063426785e-05,0.0,5.543231964111328e-06,0.0012827761238440871,Safe
Chuck Liddell,9,3,Percent,17.0,6.6%,0.0%-98.8%,7.357030868530273,9.0,0.0024336602713447065,2.0730642063426785e-05,0.0,5.543231964111328e-06,0.0012827761238440871,Safe
Natalie Coughlin,9,3,Percent,26.0,10.1%,0.0%-98.8%,8.418700218200684,2.0,0.0024336602713447065,2.0730642063426785e-05,0.0,5.543231964111328e-06,0.0012827761238440871,Safe
Louie Vito,9,3,Percent,20.0,7.8%,0.0%-98.8%,7.709911346435547,6.0,0.0024336602713447065,2.0730642063426785e-05,0.0,5.543231964111328e-06,0.0012827761238440871,Safe
Michael Irvin,9,3,Percent,14.0,5.4%,1.2%-100.0%,7.006129741668701,12.0,0.0024336602713447065,2.0730642063426785e-05,0.0,5.543231964111328e-06,0.0012827761238440871,Safe
Joanna Krupa,9,3,Percent,23.0,8.9%,0.0%-98.8%,8.06384563446045,3.0,0.0024336602713447065,2.0730642063426785e-05,0.0,5.543231964111328e-06,0.0012827761238440871,Safe
Tom DeLay,9,3,Percent,15.0,5.8%,0.0%-98.8%,7.122900485992432,11.0,0.0024336602713447065,2.0730642063426785e-05,0.0,5.543231964111328e-06,0.0012827761238440871,Withdrew
Aaron Carter,9,3,Percent,21.0,8.1%,0.0%-98.8%,7.828763008117676,4.0,0.0024336602713447065,2.0730642063426785e-05,0.0,5.543231964111328e-06,0.0012827761238440871,Safe
Mya,9,3,Percent,27.0,10.5%,0.0%-98.8%,8.535264015197754,1.0,0.0024336602713447065,2.0730642063426785e-05,0.0,5.543231964111328e-06,0.0012827761238440871,Safe
Donny Osmond,9,3,Percent,21.0,8.1%,0.0%-98.8%,7.828763008117676,4.0,0.0024336602713447065,2.0730642063426785e-05,0.0,5.543231964111328e-06,0.0012827761238440871,Safe
Kelly Osbourne,9,3,Percent,20.0,7.8%,0.0%-98.8%,7.710304260253906,5.0,0.0024336602713447065,2.0730642063426785e-05,0.0,5.543231964111328e-06,0.0012827761238440871,Safe
Melissa Joan Hart,9,4,Percent,28.0,11.6%,0.0%-99.2%,9.685876846313477,1.0,0.0009444596042158082,5.107643119117711e-06,0.0,8.940696716308594e-06,0.0008781790966168046,Safe
Mark Dacascos,9,4,Percent,22.0,9.1%,0.0%-99.2%,9.091256141662598,5.0,0.0009444596042158082,5.107643119117711e-06,0.0,8.940696716308594e-06,0.0008781790966168046,Safe
Chuck Liddell,9,4,Percent,17.0,7.0%,0.0%-11.2%,8.590044021606445,7.0,0.0009444596042158082,5.107643119117711e-06,0.0,8.940696716308594e-06,0.0008781790966168046,Eliminated (Place 11)
Natalie Coughlin,9,4,Percent,24.0,9.9%,0.0%-99.2%,9.290060043334961,3.0,0.0009444596042158082,5.107643119117711e-06,0.0,8.940696716308594e-06,0.0008781790966168046,Safe
Louie Vito,9,4,Percent,16.0,6.6%,0.4%-99.6%,8.49791431427002,8.0,0.0009444596042158082,5.107643119117711e-06,0.0,8.940696716308594e-06,0.0008781790966168046,Safe
Michael Irvin,9,4,Percent,16.0,6.6%,0.4%-99.6%,8.49791431427002,8.0,0.0009444596042158082,5.107643119117711e-06,0.0,8.940696716308594e-06,0.0008781790966168046,Safe
Joanna Krupa,9,4,Percent,26.0,10.7%,0.0%-99.2%,9.487504005432129,2.0,0.0009444596042158082,5.107643119117711e-06,0.0,8.940696716308594e-06,0.0008781790966168046,Safe
Aaron Carter,9,4,Percent,18.0,7.4%,0.0%-99.2%,8.692776679992676,6.0,0.0009444596042158082,5.107643119117711e-06,0.0,8.940696716308594e-06,0.0008781790966168046,Safe
Mya,9,4,Percent,28.0,11.6%,0.0%-99.2%,9.685876846313477,1.0,0.0009444596042158082,5.107643119117711e-06,0.0,8.940696716308594e-06,0.0008781790966168046,Safe
Donny Osmond,9,4,Percent,24.0,9.9%,0.0%-99.2%,9.290060043334961,3.0,0.0009444596042158082,5.107643119117711e-06,0.0,8.940696716308594e-06,0.0008781790966168046,Safe
Kelly Osbourne,9,4,Percent,23.0,9.5%,0.0%-99.2%,9.190711975097656,4.0,0.0009444596042158082,5.107643119117711e-06,0.0,8.940696716308594e-06,0.0008781790966168046,Safe
Melissa Joan Hart,9,5,Percent,23.0,9.5%,0.0%-99.6%,9.004267692565918,5.0,0.009945078840246424,1.2217509720358066e-05,0.0,0.00031363964080810547,0.014423397369682789,Safe
Mark Dacascos,9,5,Percent,26.0,10.7%,0.0%-99.6%,11.5375394821167,3.0,0.009945078840246424,1.2217509720358066e-05,0.0,0.00031363964080810547,0.014423397369682789,Safe
Natalie Coughlin,9,5,Percent,22.0,9.1%,0.0%-10.9%,8.020509719848633,7.0,0.009945078840246424,1.2217509720358066e-05,0.0,0.00031363964080810547,0.014423397369682789,Eliminated (Place 10)
Louie Vito,9,5,Percent,22.0,9.1%,0.0%-99.6%,8.152667999267578,6.0,0.009945078840246424,1.2217509720358066e-05,0.0,0.00031363964080810547,0.014423397369682789,Safe
Michael Irvin,9,5,Percent,21.0,8.7%,0.4%-100.0%,7.38512659072876,8.0,0.009945078840246424,1.2217509720358066e-05,0.0,0.00031363964080810547,0.014423397369682789,Safe
Joanna Krupa,9,5,Percent,24.0,9.9%,0.0%-99.6%,9.81281566619873,4.0,0.009945078840246424,1.2217509720358066e-05,0.0,0.00031363964080810547,0.014423397369682789,Safe
Aaron Carter,9,5,Percent,24.0,9.9%,0.0%-99.6%,9.81281566619873,4.0,0.009945078840246424,1.2217509720358066e-05,0.0,0.00031363964080810547,0.014423397369682789,Safe
Mya,9,5,Percent,27.0,11.2%,0.0%-99.6%,12.396330833435059,2.0,0.009945078840246424,1.2217509720358066e-05,0.0,0.00031363964080810547,0.014423397369682789,Safe
Donny Osmond,9,5,Percent,29.0,12.0%,0.0%-99.6%,14.065112113952637,1.0,0.009945078840246424,1.2217509720358066e-05,0.0,0.00031363964080810547,0.014423397369682789,Safe
Kelly Osbourne,9,5,Percent,24.0,9.9%,0.0%-99.6%,9.81281566619873,4.0,0.009945078840246424,1.2217509720358066e-05,0.0,0.00031363964080810547,0.014423397369682789,Safe
Melissa Joan Hart,9,6,Percent,23.9999,9.2%,0.0%-14.6%,8.792943954467773,7.0,0.011672002833802252,3.093251507380046e-05,0.0,0.0003947615623474121,0.014671066775918007,Eliminated (Place 9)
Mark Dacascos,9,6,Percent,32.0,12.3%,0.0%-99.2%,12.507099151611328,4.0,0.011672002833802252,3.093251507380046e-05,0.0,0.0003947615623474121,0.014671066775918007,Safe
Louie Vito,9,6,Percent,24.0,9.2%,0.0%-14.6%,8.791081428527832,8.0,0.011672002833802252,3.093251507380046e-05,0.0,0.0003947615623474121,0.014671066775918007,Eliminated (Place 8)
Michael Irvin,9,6,Percent,21.9998,8.5%,0.8%-100.0%,8.089816093444824,9.0,0.011672002833802252,3.093251507380046e-05,0.0,0.0003947615623474121,0.014671066775918007,Safe
Joanna Krupa,9,6,Percent,35.9999,13.8%,0.0%-99.2%,14.35713005065918,1.0,0.011672002833802252,3.093251507380046e-05,0.0,0.0003947615623474121,0.014671066775918007,Safe
Aaron Carter,9,6,Percent,32.9998,12.7%,0.0%-99.2%,12.980876922607422,3.0,0.011672002833802252,3.093251507380046e-05,0.0,0.0003947615623474121,0.014671066775918007,Safe
Mya,9,6,Percent,33.0,12.7%,0.0%-99.2%,13.00831127166748,2.0,0.011672002833802252,3.093251507380046e-05,0.0,0.0003947615623474121,0.014671066775918007,Safe
Donny Osmond,9,6,Percent,30.999899999999997,11.9%,0.0%-99.2%,12.127551078796387,5.0,0.011672002833802252,3.093251507380046e-05,0.0,0.0003947615623474121,0.014671066775918007,Safe
Kelly Osbourne,9,6,Percent,24.9998,9.6%,0.0%-99.2%,9.345191955566406,6.0,0.011672002833802252,3.093251507380046e-05,0.0,0.0003947615623474121,0.014671066775918007,Safe
Mark Dacascos,9,7,Percent,21.5,12.3%,0.0%-18.9%,12.109118461608887,6.0,0.001383858174085617,0.0,0.0,2.384185791015625e-07,0.0023060329258441925,Eliminated (Place 6)
Michael Irvin,9,7,Percent,23.5,13.4%,0.0%-17.9%,13.328874588012695,5.0,0.001383858174085617,0.0,0.0,2.384185791015625e-07,0.0023060329258441925,Eliminated (Place 7)
Joanna Krupa,9,7,Percent,27.5,15.7%,0.0%-100.0%,15.766410827636719,1.0,0.001383858174085617,0.0,0.0,2.384185791015625e-07,0.0023060329258441925,Safe
Aaron Carter,9,7,Percent,26.5,15.1%,0.0%-100.0%,15.1548433303833,2.0,0.001383858174085617,0.0,0.0,2.384185791015625e-07,0.0023060329258441925,Safe
Mya,9,7,Percent,24.5,14.0%,0.0%-100.0%,13.938071250915527,4.0,0.001383858174085617,0.0,0.0,2.384185791015625e-07,0.0023060329258441925,Safe
Donny Osmond,9,7,Percent,26.0,14.8%,0.0%-100.0%,14.851340293884277,3.0,0.001383858174085617,0.0,0.0,2.384185791015625e-07,0.0023060329258441925,Safe
Kelly Osbourne,9,7,Percent,26.0,14.8%,0.0%-100.0%,14.851340293884277,3.0,0.001383858174085617,0.0,0.0,2.384185791015625e-07,0.0023060329258441925,Safe
Joanna Krupa,9,8,Percent,26.0,19.8%,0.0%-100.0%,19.42970848083496,2.0,0.01016169898211956,0.0,0.0,0.0001035928726196289,0.016763510182499886,Safe
Aaron Carter,9,8,Percent,25.0,19.1%,0.0%-20.9%,16.25282096862793,5.0,0.01016169898211956,0.0,0.0,0.0001035928726196289,0.016763510182499886,Eliminated (Place 5)
Mya,9,8,Percent,29.5,22.5%,0.0%-100.0%,29.916027069091797,1.0,0.01016169898211956,0.0,0.0,0.0001035928726196289,0.016763510182499886,Safe
Donny Osmond,9,8,Percent,25.0,19.1%,0.0%-100.0%,16.4497013092041,4.0,0.01016169898211956,0.0,0.0,0.0001035928726196289,0.016763510182499886,Safe
Kelly Osbourne,9,8,Percent,25.5,19.5%,0.0%-100.0%,17.951738357543945,3.0,0.01016169898211956,0.0,0.0,0.0001035928726196289,0.016763510182499886,Safe
Joanna Krupa,9,9,Percent,27.0,25.3%,0.0%-24.7%,17.685056686401367,3.0,0.19110154663212597,0.00023715304268989712,0.0,0.14000940322875977,0.0535331666469574,Eliminated (Place 4)
Mya,9,9,Percent,28.9999,27.2%,0.0%-96.9%,46.57936477661133,1.0,0.19110154663212597,0.00023715304268989712,0.0,0.14000940322875977,0.0535331666469574,Safe
Donny Osmond,9,9,Percent,24.6666,23.1%,2.2%-99.1%,17.206974029541016,4.0,0.19110154663212597,0.00023715304268989712,0.0,0.14000940322875977,0.0535331666469574,Safe
Kelly Osbourne,9,9,Percent,25.9998,24.4%,0.9%-97.8%,18.528594970703125,2.0,0.19110154663212597,0.00023715304268989712,0.0,0.14000940322875977,0.0535331666469574,Safe
Mya,9,10,Percent,28.333199999999998,34.3%,0.0%-50.4%,34.29996871948242,2.0,0.0005216486752033234,0.0,0.0,2.384185791015625e-07,0.000869017094373703,Eliminated (Place 2)
Donny Osmond,9,10,Percent,28.9998,35.1%,31.5%-100.0%,35.086952209472656,1.0,0.0005216486752033234,0.0,0.0,2.384185791015625e-07,0.000869017094373703,Safe
Kelly Osbourne,9,10,Percent,25.2222,30.6%,0.0%-52.3%,30.613073348999023,3.0,0.0005216486752033234,0.0,0.0,2.384185791015625e-07,0.000869017094373703,Eliminated (Place 3)
Aiden Turner,10,1,Percent,15.0,7.2%,0.0%-100.0%,8.445388793945312,7.0,0.0007554737385362387,0.0,0.0,4.5299530029296875e-06,0.0012515729758888483,Safe
Shannen Doherty,10,1,Percent,18.0,8.6%,0.0%-100.0%,8.927667617797852,5.0,0.0007554737385362387,0.0,0.0,4.5299530029296875e-06,0.0012515729758888483,Safe
Niecy Nash,10,1,Percent,18.0,8.6%,0.0%-100.0%,8.927667617797852,5.0,0.0007554737385362387,0.0,0.0,4.5299530029296875e-06,0.0012515729758888483,Safe
Buzz Aldrin,10,1,Percent,14.0,6.7%,0.0%-100.0%,8.285684585571289,8.0,0.0007554737385362387,0.0,0.0,4.5299530029296875e-06,0.0012515729758888483,Safe
Chad Ochocinco,10,1,Percent,18.0,8.6%,0.0%-100.0%,8.927667617797852,5.0,0.0007554737385362387,0.0,0.0,4.5299530029296875e-06,0.0012515729758888483,Safe
Evan Lysacek,10,1,Percent,23.0,11.0%,0.0%-100.0%,9.736051559448242,2.0,0.0007554737385362387,0.0,0.0,4.5299530029296875e-06,0.0012515729758888483,Safe
Pamela Anderson,10,1,Percent,21.0,10.0%,0.0%-100.0%,9.413790702819824,3.0,0.0007554737385362387,0.0,0.0,4.5299530029296875e-06,0.0012515729758888483,Safe
Nicole Scherzinger,10,1,Percent,25.0,12.0%,0.0%-100.0%,10.05877685546875,1.0,0.0007554737385362387,0.0,0.0,4.5299530029296875e-06,0.0012515729758888483,Safe
Erin Andrews,10,1,Percent,21.0,10.0%,0.0%-100.0%,9.413790702819824,3.0,0.0007554737385362387,0.0,0.0,4.5299530029296875e-06,0.0012515729758888483,Safe
Kate Gosselin,10,1,Percent,16.0,7.7%,0.0%-100.0%,8.607650756835938,6.0,0.0007554737385362387,0.0,0.0,4.5299530029296875e-06,0.0012515729758888483,Safe
Jake Pavelka,10,1,Percent,20.0,9.6%,0.0%-100.0%,9.255854606628418,4.0,0.0007554737385362387,0.0,0.0,4.5299530029296875e-06,0.0012515729758888483,Safe
Aiden Turner,10,2,Percent,19.0,8.6%,0.5%-92.3%,8.971890449523926,8.0,0.02842146810144186,0.00034062814665958285,0.0,0.00041997432708740234,0.0012520700693130493,Safe
Shannen Doherty,10,2,Percent,20.0,9.1%,0.0%-9.1%,9.044228553771973,7.0,0.02842146810144186,0.00034062814665958285,0.0,0.00041997432708740234,0.0012520700693130493,Eliminated (Place 11)
Niecy Nash,10,2,Percent,21.0,9.5%,0.0%-91.8%,9.213385581970215,5.0,0.02842146810144186,0.00034062814665958285,0.0,0.00041997432708740234,0.0012520700693130493,Safe
Buzz Aldrin,10,2,Percent,12.0,5.5%,3.6%-95.5%,8.126036643981934,11.0,0.02842146810144186,0.00034062814665958285,0.0,0.00041997432708740234,0.0012520700693130493,Safe
