CelebrityName,Season,Week,RuleType,Possible_Audience_Vote_Range,Uncertainty_Range_Min,Uncertainty_Range_Max,Uncertainty_Range_Width,Uncertainty_Index
Laila Ali,4,10,Percent,18.4%-18.5%,18.4,18.5,0.1,0.001
Apolo Anton Ohno,4,10,Percent,53.9%-54.2%,53.9,54.2,0.3,0.003
Joey Fatone,4,10,Percent,27.5%-27.5%,27.5,27.5,0,0
Ted McGinley,7,1,Percent,4.1%-4.3%,4.1,4.3,0.2,0.002
Cloris Leachman,7,1,Percent,10.3%-10.5%,10.3,10.5,0.2,0.002
Susan Lucci,7,1,Percent,10.7%-10.8%,10.7,10.8,0.1,0.001
Cody Linley,7,1,Percent,8.4%-8.5%,8.4,8.5,0.1,0.001
Misty May-Treanor,7,1,Percent,7.4%-7.4%,7.4,7.4,0,0
Maurice Greene,7,1,Percent,6.4%-6.4%,6.4,6.4,0,0
Warren Sapp,7,1,Percent,8.1%-8.1%,8.1,8.1,0,0
Jeffrey Ross,7,1,Percent,0.0%-0.1%,0,0.1,0.1,0.001
Toni Braxton,7,1,Percent,12.7%-12.9%,12.7,12.9,0.2,0.002
Lance Bass,7,1,Percent,7.9%-7.9%,7.9,7.9,0,0
Kim Kardashian,7,1,Percent,4.8%-4.9%,4.8,4.9,0.1,0.001
Rocco DiSpirito,7,1,Percent,6.8%-6.8%,6.8,6.8,0,0
Brooke Burke,7,1,Percent,11.9%-12.0%,11.9,12,0.1,0.001
Cloris Leachman,7,2,Percent,10.1%-10.2%,10.1,10.2,0.1,0.001
Susan Lucci,7,2,Percent,14.5%-14.5%,14.5,14.5,0,0
Cody Linley,7,2,Percent,8.4%-8.5%,8.4,8.5,0.1,0.001
Misty May-Treanor,7,2,Percent,6.6%-6.7%,6.6,6.7,0.1,0.001
Maurice Greene,7,2,Percent,3.7%-3.8%,3.7,3.8,0.1,0.001
Warren Sapp,7,2,Percent,10.8%-10.8%,10.8,10.8,0,0
Toni Braxton,7,2,Percent,19.5%-19.6%,19.5,19.6,0.1,0.001
Lance Bass,7,2,Percent,5.8%-5.8%,5.8,5.8,0,0
Kim Kardashian,7,2,Percent,0.7%-0.7%,0.7,0.7,0,0
Rocco DiSpirito,7,2,Percent,2.4%-2.5%,2.4,2.5,0.1,0.001
Brooke Burke,7,2,Percent,17.1%-17.2%,17.1,17.2,0.1,0.001
Cloris Leachman,7,3,Percent,9.4%-9.5%,9.4,9.5,0.1,0.001
Susan Lucci,7,3,Percent,15.3%-15.4%,15.3,15.4,0.1,0.001
Cody Linley,7,3,Percent,4.1%-4.2%,4.1,4.2,0.1,0.001
Maurice Greene,7,3,Percent,6.9%-6.9%,6.9,6.9,0,0
Warren Sapp,7,3,Percent,11.2%-11.3%,11.2,11.3,0.1,0.001
Toni Braxton,7,3,Percent,20.4%-20.5%,20.4,20.5,0.1,0.001
Lance Bass,7,3,Percent,5.4%-5.5%,5.4,5.5,0.1,0.001
Rocco DiSpirito,7,3,Percent,1.6%-1.7%,1.6,1.7,0.1,0.001
Brooke Burke,7,3,Percent,25.1%-25.4%,25.1,25.4,0.3,0.003
Cloris Leachman,7,4,Percent,14.5%-14.5%,14.5,14.5,0,0
Susan Lucci,7,4,Percent,17.7%-17.8%,17.7,17.8,0.1,0.001
Cody Linley,7,4,Percent,8.9%-8.9%,8.9,8.9,0,0
Maurice Greene,7,4,Percent,2.8%-2.8%,2.8,2.8,0,0
Warren Sapp,7,4,Percent,6.3%-6.3%,6.3,6.3,0,0
Toni Braxton,7,4,Percent,16.7%-16.7%,16.7,16.7,0,0
Lance Bass,7,4,Percent,11.5%-11.5%,11.5,11.5,0,0
Rocco DiSpirito,7,4,Percent,1.2%-1.2%,1.2,1.2,0,0
Brooke Burke,7,4,Percent,20.4%-20.4%,20.4,20.4,0,0
Cloris Leachman,7,5,Percent,12.6%-12.6%,12.6,12.6,0,0
Susan Lucci,7,5,Percent,13.4%-13.4%,13.4,13.4,0,0
Cody Linley,7,5,Percent,14.0%-14.0%,14,14,0,0
Maurice Greene,7,5,Percent,9.9%-9.9%,9.9,9.9,0,0
Warren Sapp,7,5,Percent,9.0%-9.0%,9,9,0,0
Toni Braxton,7,5,Percent,15.0%-15.0%,15,15,0,0
Lance Bass,7,5,Percent,6.2%-6.2%,6.2,6.2,0,0
Brooke Burke,7,5,Percent,20.0%-20.0%,20,20,0,0
Cloris Leachman,7,6,Percent,8.3%-8.4%,8.3,8.4,0.1,0.001
Susan Lucci,7,6,Percent,22.6%-22.8%,22.6,22.8,0.2,0.002
Cody Linley,7,6,Percent,10.2%-10.3%,10.2,10.3,0.1,0.001
Maurice Greene,7,6,Percent,2.5%-2.6%,2.5,2.6,0.1,0.001
Warren Sapp,7,6,Percent,12.4%-12.5%,12.4,12.5,0.1,0.001
Lance Bass,7,6,Percent,15.7%-15.8%,15.7,15.8,0.1,0.001
Brooke Burke,7,6,Percent,27.8%-28.1%,27.8,28.1,0.3,0.003
Susan Lucci,7,7,Percent,18.9%-18.9%,18.9,18.9,0,0
Cody Linley,7,7,Percent,14.0%-14.1%,14,14.1,0.1,0.001
Maurice Greene,7,7,Percent,14.7%-14.7%,14.7,14.7,0,0
Warren Sapp,7,7,Percent,12.4%-12.4%,12.4,12.4,0,0
Lance Bass,7,7,Percent,16.1%-16.1%,16.1,16.1,0,0
Brooke Burke,7,7,Percent,23.9%-23.9%,23.9,23.9,0,0
Cody Linley,7,8,Percent,12.6%-12.6%,12.6,12.6,0,0
Maurice Greene,7,8,Percent,6.3%-6.3%,6.3,6.3,0,0
Warren Sapp,7,8,Percent,23.1%-23.1%,23.1,23.1,0,0
Lance Bass,7,8,Percent,16.4%-16.4%,16.4,16.4,0,0
Brooke Burke,7,8,Percent,41.6%-41.6%,41.6,41.6,0,0
Cody Linley,7,9,Percent,11.1%-11.2%,11.1,11.2,0.1,0.001
Warren Sapp,7,9,Percent,16.9%-16.9%,16.9,16.9,0,0
Lance Bass,7,9,Percent,30.0%-30.0%,30,30,0,0
Brooke Burke,7,9,Percent,41.8%-41.9%,41.8,41.9,0.1,0.001
Warren Sapp,7,10,Percent,23.4%-31.0%,23.4,31,7.6,0.076
Lance Bass,7,10,Percent,23.4%-31.0%,23.4,31,7.6,0.076
Brooke Burke,7,10,Percent,44.7%-44.7%,44.7,44.7,0,0
Ralph Macchio,12,1,Percent,12.6%-12.6%,12.6,12.6,0,0
Chelsea Kane,12,1,Percent,8.8%-8.8%,8.8,8.8,0,0
Kirstie Alley,12,1,Percent,15.9%-16.0%,15.9,16,0.1,0.001
Hines Ward,12,1,Percent,7.7%-7.7%,7.7,7.7,0,0
Sugar Ray Leonard,12,1,Percent,3.8%-3.9%,3.8,3.9,0.1,0.001
Chris Jericho,12,1,Percent,6.3%-6.3%,6.3,6.3,0,0
Petra Nemcova,12,1,Percent,5.1%-5.1%,5.1,5.1,0,0
Mike Catherwood,12,1,Percent,1.0%-1.0%,1,1,0,0
Romeo,12,1,Percent,25.7%-25.7%,25.7,25.7,0,0
Wendy Williams,12,1,Percent,2.6%-2.6%,2.6,2.6,0,0
Kendra Wilkinson,12,1,Percent,10.4%-10.4%,10.4,10.4,0,0
Ralph Macchio,12,2,Percent,7.9%-7.9%,7.9,7.9,0,0
Chelsea Kane,12,2,Percent,2.7%-2.7%,2.7,2.7,0,0
Kirstie Alley,12,2,Percent,11.9%-12.0%,11.9,12,0.1,0.001
Hines Ward,12,2,Percent,10.6%-10.6%,10.6,10.6,0,0
Sugar Ray Leonard,12,2,Percent,3.6%-3.6%,3.6,3.6,0,0
Chris Jericho,12,2,Percent,13.2%-13.2%,13.2,13.2,0,0
Petra Nemcova,12,2,Percent,1.4%-1.4%,1.4,1.4,0,0
Mike Catherwood,12,2,Percent,4.5%-4.5%,4.5,4.5,0,0
Romeo,12,2,Percent,28.6%-28.6%,28.6,28.6,0,0
Wendy Williams,12,2,Percent,6.2%-6.2%,6.2,6.2,0,0
Kendra Wilkinson,12,2,Percent,9.4%-9.4%,9.4,9.4,0,0
Ralph Macchio,12,3,Percent,5.2%-5.2%,5.2,5.2,0,0
Chelsea Kane,12,3,Percent,6.7%-6.7%,6.7,6.7,0,0
Kirstie Alley,12,3,Percent,9.8%-9.8%,9.8,9.8,0,0
Hines Ward,12,3,Percent,8.2%-8.2%,8.2,8.2,0,0
Sugar Ray Leonard,12,3,Percent,3.6%-3.6%,3.6,3.6,0,0
Chris Jericho,12,3,Percent,4.6%-4.6%,4.6,4.6,0,0
Petra Nemcova,12,3,Percent,27.5%-27.6%,27.5,27.6,0.1,0.001
Romeo,12,3,Percent,20.9%-20.9%,20.9,20.9,0,0
Wendy Williams,12,3,Percent,1.9%-1.9%,1.9,1.9,0,0
Kendra Wilkinson,12,3,Percent,11.7%-11.7%,11.7,11.7,0,0
Ralph Macchio,12,4,Percent,11.6%-11.7%,11.6,11.7,0.1,0.001
Chelsea Kane,12,4,Percent,15.5%-15.5%,15.5,15.5,0,0
Kirstie Alley,12,4,Percent,8.6%-8.6%,8.6,8.6,0,0
Hines Ward,12,4,Percent,12.9%-13.0%,12.9,13,0.1,0.001
Sugar Ray Leonard,12,4,Percent,3.1%-3.2%,3.1,3.2,0.1,0.001
Chris Jericho,12,4,Percent,6.3%-6.3%,6.3,6.3,0,0
Petra Nemcova,12,4,Percent,10.1%-10.1%,10.1,10.1,0,0
Romeo,12,4,Percent,30.0%-30.3%,30,30.3,0.3,0.003
Kendra Wilkinson,12,4,Percent,1.6%-1.7%,1.6,1.7,0.1,0.001
Ralph Macchio,12,5,Percent,5.0%-5.2%,5,5.2,0.2,0.002
Chelsea Kane,12,5,Percent,12.4%-12.5%,12.4,12.5,0.1,0.001
Kirstie Alley,12,5,Percent,10.7%-10.9%,10.7,10.9,0.2,0.002
Hines Ward,12,5,Percent,16.1%-16.2%,16.1,16.2,0.1,0.001
Chris Jericho,12,5,Percent,14.2%-14.3%,14.2,14.3,0.1,0.001
Petra Nemcova,12,5,Percent,1.3%-1.4%,1.3,1.4,0.1,0.001
Romeo,12,5,Percent,30.9%-31.3%,30.9,31.3,0.4,0.004
Kendra Wilkinson,12,5,Percent,8.5%-8.7%,8.5,8.7,0.2,0.002
Ralph Macchio,12,6,Percent,6.3%-6.3%,6.3,6.3,0,0
Chelsea Kane,12,6,Percent,15.6%-15.6%,15.6,15.6,0,0
Kirstie Alley,12,6,Percent,18.0%-18.0%,18,18,0,0
Hines Ward,12,6,Percent,12.8%-12.8%,12.8,12.8,0,0
Chris Jericho,12,6,Percent,2.4%-2.4%,2.4,2.4,0,0
Romeo,12,6,Percent,33.9%-34.0%,33.9,34,0.1,0.001
Kendra Wilkinson,12,6,Percent,10.9%-10.9%,10.9,10.9,0,0
Ralph Macchio,12,7,Percent,21.8%-21.9%,21.8,21.9,0.1,0.001
Chelsea Kane,12,7,Percent,12.3%-12.4%,12.3,12.4,0.1,0.001
Kirstie Alley,12,7,Percent,5.2%-5.3%,5.2,5.3,0.1,0.001
Hines Ward,12,7,Percent,17.6%-17.6%,17.6,17.6,0,0
Romeo,12,7,Percent,34.8%-35.0%,34.8,35,0.2,0.002
Kendra Wilkinson,12,7,Percent,8.0%-8.1%,8,8.1,0.1,0.001
Ralph Macchio,12,8,Percent,16.1%-16.1%,16.1,16.1,0,0
Chelsea Kane,12,8,Percent,20.1%-20.1%,20.1,20.1,0,0
Kirstie Alley,12,8,Percent,21.0%-21.0%,21,21,0,0
Hines Ward,12,8,Percent,19.2%-19.2%,19.2,19.2,0,0
Romeo,12,8,Percent,23.6%-23.6%,23.6,23.6,0,0
Ralph Macchio,12,9,Percent,10.7%-10.7%,10.7,10.7,0,0
Chelsea Kane,12,9,Percent,30.2%-30.3%,30.2,30.3,0.1,0.001
Kirstie Alley,12,9,Percent,40.0%-40.1%,40,40.1,0.1,0.001
Hines Ward,12,9,Percent,18.9%-19.0%,18.9,19,0.1,0.001
Chelsea Kane,12,10,Percent,25.3%-25.4%,25.3,25.4,0.1,0.001
Kirstie Alley,12,10,Percent,17.5%-17.6%,17.5,17.6,0.1,0.001
Hines Ward,12,10,Percent,57.0%-57.3%,57,57.3,0.3,0.003
David Hasselhoff,11,1,Percent,0.4%-0.5%,0.4,0.5,0.1,0.001
Florence Henderson,11,1,Percent,5.5%-5.7%,5.5,5.7,0.2,0.002
Kyle Massey,11,1,Percent,9.2%-9.3%,9.2,9.3,0.1,0.001
Jennifer Grey,11,1,Percent,16.6%-16.8%,16.6,16.8,0.2,0.002
Rick Fox,11,1,Percent,7.8%-7.9%,7.8,7.9,0.1,0.001
Kurt Warner,11,1,Percent,6.3%-6.4%,6.3,6.4,0.1,0.001
Margaret Cho,11,1,Percent,1.5%-1.6%,1.5,1.6,0.1,0.001
Michael Bolton,11,1,Percent,2.3%-2.4%,2.3,2.4,0.1,0.001
Brandy,11,1,Percent,12.0%-12.0%,12,12,0,0
The Situation,11,1,Percent,15.0%-15.1%,15,15.1,0.1,0.001
Audrina Patridge,11,1,Percent,10.1%-10.2%,10.1,10.2,0.1,0.001
Bristol Palin,11,1,Percent,12.7%-12.8%,12.7,12.8,0.1,0.001
Florence Henderson,11,2,Percent,5.9%-6.0%,5.9,6,0.1,0.001
Kyle Massey,11,2,Percent,8.4%-8.5%,8.4,8.5,0.1,0.001
Jennifer Grey,11,2,Percent,14.5%-15.8%,14.5,15.8,1.3,0.013
Rick Fox,11,2,Percent,6.5%-6.6%,6.5,6.6,0.1,0.001
Kurt Warner,11,2,Percent,7.6%-7.7%,7.6,7.7,0.1,0.001
Margaret Cho,11,2,Percent,3.5%-3.7%,3.5,3.7,0.2,0.002
Michael Bolton,11,2,Percent,0.1%-0.1%,0.1,0.1,0,0
Brandy,11,2,Percent,9.9%-9.9%,9.9,9.9,0,0
The Situation,11,2,Percent,15.6%-16.0%,15.6,16,0.4,0.004
Audrina Patridge,11,2,Percent,12.2%-12.3%,12.2,12.3,0.1,0.001
Bristol Palin,11,2,Percent,14.0%-14.2%,14,14.2,0.2,0.002
Florence Henderson,11,3,Percent,3.8%-4.1%,3.8,4.1,0.3,0.003
Kyle Massey,11,3,Percent,6.0%-6.3%,6,6.3,0.3,0.003
Jennifer Grey,11,3,Percent,14.9%-15.6%,14.9,15.6,0.7,0.007
Rick Fox,11,3,Percent,8.3%-8.6%,8.3,8.6,0.3,0.003
Kurt Warner,11,3,Percent,7.3%-7.6%,7.3,7.6,0.3,0.003
Margaret Cho,11,3,Percent,0.3%-0.4%,0.3,0.4,0.1,0.001
Brandy,11,3,Percent,12.0%-12.2%,12,12.2,0.2,0.002
The Situation,11,3,Percent,18.9%-19.3%,18.9,19.3,0.4,0.004
Audrina Patridge,11,3,Percent,16.5%-17.1%,16.5,17.1,0.6,0.006
Bristol Palin,11,3,Percent,10.4%-10.6%,10.4,10.6,0.2,0.002
Florence Henderson,11,4,Percent,6.5%-6.5%,6.5,6.5,0,0
Kyle Massey,11,4,Percent,8.1%-8.1%,8.1,8.1,0,0
Jennifer Grey,11,4,Percent,19.7%-19.7%,19.7,19.7,0,0
Rick Fox,11,4,Percent,7.0%-7.0%,7,7,0,0
Kurt Warner,11,4,Percent,5.0%-5.0%,5,5,0,0
Brandy,11,4,Percent,13.7%-13.7%,13.7,13.7,0,0
The Situation,11,4,Percent,13.3%-13.3%,13.3,13.3,0,0
Audrina Patridge,11,4,Percent,15.1%-15.1%,15.1,15.1,0,0
Bristol Palin,11,4,Percent,11.5%-11.5%,11.5,11.5,0,0
Florence Henderson,11,5,Percent,4.9%-5.0%,4.9,5,0.1,0.001
Kyle Massey,11,5,Percent,2.0%-2.1%,2,2.1,0.1,0.001
Jennifer Grey,11,5,Percent,24.3%-24.4%,24.3,24.4,0.1,0.001
Rick Fox,11,5,Percent,7.2%-7.3%,7.2,7.3,0.1,0.001
Kurt Warner,11,5,Percent,10.0%-10.1%,10,10.1,0.1,0.001
Brandy,11,5,Percent,20.0%-20.1%,20,20.1,0.1,0.001
Audrina Patridge,11,5,Percent,16.8%-16.8%,16.8,16.8,0,0
Bristol Palin,11,5,Percent,14.6%-14.6%,14.6,14.6,0,0
Kyle Massey,11,6,Percent,11.8%-11.8%,11.8,11.8,0,0
Jennifer Grey,11,6,Percent,17.0%-17.0%,17,17,0,0
Rick Fox,11,6,Percent,10.6%-10.7%,10.6,10.7,0.1,0.001
Kurt Warner,11,6,Percent,7.9%-7.9%,7.9,7.9,0,0
Brandy,11,6,Percent,19.1%-19.1%,19.1,19.1,0,0
Audrina Patridge,11,6,Percent,14.8%-14.9%,14.8,14.9,0.1,0.001
Bristol Palin,11,6,Percent,18.6%-18.6%,18.6,18.6,0,0
Kyle Massey,11,7,Percent,5.1%-5.2%,5.1,5.2,0.1,0.001
Jennifer Grey,11,7,Percent,31.1%-31.2%,31.1,31.2,0.1,0.001
Rick Fox,11,7,Percent,7.7%-7.7%,7.7,7.7,0,0
Kurt Warner,11,7,Percent,12.9%-12.9%,12.9,12.9,0,0
Brandy,11,7,Percent,23.7%-23.7%,23.7,23.7,0,0
Bristol Palin,11,7,Percent,19.4%-19.4%,19.4,19.4,0,0
Kyle Massey,11,8,Percent,13.8%-13.9%,13.8,13.9,0.1,0.001
Jennifer Grey,11,8,Percent,33.6%-33.7%,33.6,33.7,0.1,0.001
Kurt Warner,11,8,Percent,5.2%-5.3%,5.2,5.3,0.1,0.001
Brandy,11,8,Percent,25.4%-25.5%,25.4,25.5,0.1,0.001
Bristol Palin,11,8,Percent,21.8%-21.9%,21.8,21.9,0.1,0.001
Kyle Massey,11,9,Percent,15.3%-15.3%,15.3,15.3,0,0
Jennifer Grey,11,9,Percent,46.7%-46.9%,46.7,46.9,0.2,0.002
Brandy,11,9,Percent,11.4%-11.5%,11.4,11.5,0.1,0.001
Bristol Palin,11,9,Percent,26.5%-26.5%,26.5,26.5,0,0
Kyle Massey,11,10,Percent,19.1%-19.2%,19.1,19.2,0.1,0.001
Jennifer Grey,11,10,Percent,46.5%-46.6%,46.5,46.6,0.1,0.001
Bristol Palin,11,10,Percent,34.3%-34.4%,34.3,34.4,0.1,0.001
Ashley Hamiliton,9,1,Percent,0.2%-0.3%,0.2,0.3,0.1,0.001
Debi Mazar,9,1,Percent,2.2%-2.3%,2.2,2.3,0.1,0.001
Melissa Joan Hart,9,1,Percent,10.4%-10.5%,10.4,10.5,0.1,0.001
Mark Dacascos,9,1,Percent,4.2%-4.3%,4.2,4.3,0.1,0.001
Chuck Liddell,9,1,Percent,11.7%-11.8%,11.7,11.8,0.1,0.001
Natalie Coughlin,9,1,Percent,6.1%-6.2%,6.1,6.2,0.1,0.001
Louie Vito,9,1,Percent,7.9%-7.9%,7.9,7.9,0,0
Michael Irvin,9,1,Percent,2.9%-3.0%,2.9,3,0.1,0.001
Joanna Krupa,9,1,Percent,10.9%-11.0%,10.9,11,0.1,0.001
Kathy Ireland,9,1,Percent,3.8%-4.0%,3.8,4,0.2,0.002
Tom DeLay,9,1,Percent,3.8%-4.0%,3.8,4,0.2,0.002
Macy Gray,9,1,Percent,0.2%-0.3%,0.2,0.3,0.1,0.001
Aaron Carter,9,1,Percent,8.4%-8.5%,8.4,8.5,0.1,0.001
Mya,9,1,Percent,13.3%-13.5%,13.3,13.5,0.2,0.002
Donny Osmond,9,1,Percent,6.4%-6.4%,6.4,6.4,0,0
Kelly Osbourne,9,1,Percent,6.8%-6.8%,6.8,6.8,0,0
Debi Mazar,9,2,Percent,1.1%-1.2%,1.1,1.2,0.1,0.001
Melissa Joan Hart,9,2,Percent,10.5%-10.6%,10.5,10.6,0.1,0.001
Mark Dacascos,9,2,Percent,1.5%-1.6%,1.5,1.6,0.1,0.001
Chuck Liddell,9,2,Percent,12.2%-12.3%,12.2,12.3,0.1,0.001
Natalie Coughlin,9,2,Percent,5.2%-5.3%,5.2,5.3,0.1,0.001
Louie Vito,9,2,Percent,6.5%-6.6%,6.5,6.6,0.1,0.001
Michael Irvin,9,2,Percent,3.3%-3.3%,3.3,3.3,0,0
Joanna Krupa,9,2,Percent,8.6%-8.6%,8.6,8.6,0,0
Kathy Ireland,9,2,Percent,2.6%-2.7%,2.6,2.7,0.1,0.001
Tom DeLay,9,2,Percent,3.0%-3.0%,3,3,0,0
Aaron Carter,9,2,Percent,8.3%-8.3%,8.3,8.3,0,0
Mya,9,2,Percent,26.6%-27.2%,26.6,27.2,0.6,0.006
Donny Osmond,9,2,Percent,5.9%-6.0%,5.9,6,0.1,0.001
Kelly Osbourne,9,2,Percent,3.9%-3.9%,3.9,3.9,0,0
Debi Mazar,9,3,Percent,1.3%-1.3%,1.3,1.3,0,0
Melissa Joan Hart,9,3,Percent,12.0%-12.0%,12,12,0,0
Mark Dacascos,9,3,Percent,2.0%-2.1%,2,2.1,0.1,0.001
Chuck Liddell,9,3,Percent,13.1%-13.1%,13.1,13.1,0,0
Natalie Coughlin,9,3,Percent,9.0%-9.0%,9,9,0,0
Louie Vito,9,3,Percent,8.0%-8.0%,8,8,0,0
Michael Irvin,9,3,Percent,1.2%-1.3%,1.2,1.3,0.1,0.001
Joanna Krupa,9,3,Percent,10.9%-10.9%,10.9,10.9,0,0
Tom DeLay,9,3,Percent,3.2%-3.3%,3.2,3.3,0.1,0.001
Aaron Carter,9,3,Percent,7.2%-7.2%,7.2,7.2,0,0
Mya,9,3,Percent,21.3%-21.4%,21.3,21.4,0.1,0.001
Donny Osmond,9,3,Percent,5.7%-5.7%,5.7,5.7,0,0
Kelly Osbourne,9,3,Percent,5.0%-5.0%,5,5,0,0
Melissa Joan Hart,9,4,Percent,15.0%-15.0%,15,15,0,0
Mark Dacascos,9,4,Percent,4.2%-4.2%,4.2,4.2,0,0
Chuck Liddell,9,4,Percent,11.0%-11.0%,11,11,0,0
Natalie Coughlin,9,4,Percent,8.6%-8.6%,8.6,8.6,0,0
Louie Vito,9,4,Percent,6.3%-6.3%,6.3,6.3,0,0
Michael Irvin,9,4,Percent,3.5%-3.5%,3.5,3.5,0,0
Joanna Krupa,9,4,Percent,12.2%-12.2%,12.2,12.2,0,0
Aaron Carter,9,4,Percent,6.6%-6.6%,6.6,6.6,0,0
Mya,9,4,Percent,17.8%-17.9%,17.8,17.9,0.1,0.001
Donny Osmond,9,4,Percent,7.7%-7.7%,7.7,7.7,0,0
Kelly Osbourne,9,4,Percent,7.1%-7.1%,7.1,7.1,0,0
Melissa Joan Hart,9,5,Percent,16.9%-17.0%,16.9,17,0.1,0.001
Mark Dacascos,9,5,Percent,2.8%-2.9%,2.8,2.9,0.1,0.001
Natalie Coughlin,9,5,Percent,4.7%-4.8%,4.7,4.8,0.1,0.001
Louie Vito,9,5,Percent,8.1%-8.2%,8.1,8.2,0.1,0.001
Michael Irvin,9,5,Percent,1.6%-1.7%,1.6,1.7,0.1,0.001
Joanna Krupa,9,5,Percent,13.4%-13.5%,13.4,13.5,0.1,0.001
Aaron Carter,9,5,Percent,9.1%-9.1%,9.1,9.1,0,0
Mya,9,5,Percent,26.2%-26.8%,26.2,26.8,0.6,0.006
Donny Osmond,9,5,Percent,10.6%-10.7%,10.6,10.7,0.1,0.001
Kelly Osbourne,9,5,Percent,5.9%-6.0%,5.9,6,0.1,0.001
Melissa Joan Hart,9,6,Percent,14.2%-14.2%,14.2,14.2,0,0
Mark Dacascos,9,6,Percent,7.1%-7.1%,7.1,7.1,0,0
Louie Vito,9,6,Percent,9.2%-9.2%,9.2,9.2,0,0
Michael Irvin,9,6,Percent,4.6%-4.7%,4.6,4.7,0.1,0.001
Joanna Krupa,9,6,Percent,18.1%-18.1%,18.1,18.1,0,0
Aaron Carter,9,6,Percent,12.7%-12.7%,12.7,12.7,0,0
Mya,9,6,Percent,17.1%-17.1%,17.1,17.1,0,0
Donny Osmond,9,6,Percent,10.1%-10.2%,10.1,10.2,0.1,0.001
Kelly Osbourne,9,6,Percent,6.7%-6.7%,6.7,6.7,0,0
Mark Dacascos,9,7,Percent,2.0%-2.0%,2,2,0,0
Michael Irvin,9,7,Percent,8.0%-8.1%,8,8.1,0.1,0.001
Joanna Krupa,9,7,Percent,27.6%-27.7%,27.6,27.7,0.1,0.001
Aaron Carter,9,7,Percent,20.5%-20.5%,20.5,20.5,0,0
Mya,9,7,Percent,11.0%-11.1%,11,11.1,0.1,0.001
Donny Osmond,9,7,Percent,13.7%-16.7%,13.7,16.7,3,0.03
Kelly Osbourne,9,7,Percent,13.7%-16.7%,13.7,16.7,3,0.03
Joanna Krupa,9,8,Percent,21.2%-21.2%,21.2,21.2,0,0
Aaron Carter,9,8,Percent,14.8%-14.8%,14.8,14.8,0,0
Mya,9,8,Percent,41.5%-41.8%,41.5,41.8,0.3,0.003
Donny Osmond,9,8,Percent,10.5%-10.5%,10.5,10.5,0,0
Kelly Osbourne,9,8,Percent,11.9%-11.9%,11.9,11.9,0,0
Joanna Krupa,9,9,Percent,24.8%-24.8%,24.8,24.8,0,0
Mya,9,9,Percent,33.4%-33.4%,33.4,33.4,0,0
Donny Osmond,9,9,Percent,21.0%-21.0%,21,21,0,0
Kelly Osbourne,9,9,Percent,20.7%-20.8%,20.7,20.8,0.1,0.001
Mya,9,10,Percent,37.3%-37.3%,37.3,37.3,0,0
Donny Osmond,9,10,Percent,46.4%-46.5%,46.4,46.5,0.1,0.001
Kelly Osbourne,9,10,Percent,16.2%-16.3%,16.2,16.3,0.1,0.001
Cameron Mathison,5,1,Percent,2.3%-2.5%,2.3,2.5,0.2,0.002
Jane Seymour,5,1,Percent,8.6%-8.7%,8.6,8.7,0.1,0.001
Sabrina Bryan,5,1,Percent,10.5%-10.6%,10.5,10.6,0.1,0.001
Jennie Garth,5,1,Percent,5.3%-5.3%,5.3,5.3,0,0
Floyd Mayweather Jr. ,5,1,Percent,0.5%-0.5%,0.5,0.5,0,0
Josie Maran,5,1,Percent,3.2%-3.3%,3.2,3.3,0.1,0.001
Albert Reed,5,1,Percent,4.4%-4.5%,4.4,4.5,0.1,0.001
Helio Castroneves,5,1,Percent,18.5%-18.8%,18.5,18.8,0.3,0.003
Mel B,5,1,Percent,17.8%-18.0%,17.8,18,0.2,0.002
Wayne Newton,5,1,Percent,7.1%-7.2%,7.1,7.2,0.1,0.001
Marie Osmond,5,1,Percent,11.8%-11.9%,11.8,11.9,0.1,0.001
Mark Cuban,5,1,Percent,9.3%-9.5%,9.3,9.5,0.2,0.002
Cameron Mathison,5,2,Percent,2.5%-2.6%,2.5,2.6,0.1,0.001
Jane Seymour,5,2,Percent,7.1%-7.1%,7.1,7.1,0,0
Sabrina Bryan,5,2,Percent,10.0%-10.1%,10,10.1,0.1,0.001
Jennie Garth,5,2,Percent,4.8%-4.9%,4.8,4.9,0.1,0.001
Floyd Mayweather Jr. ,5,2,Percent,1.6%-1.7%,1.6,1.7,0.1,0.001
Albert Reed,5,2,Percent,3.7%-3.8%,3.7,3.8,0.1,0.001
Helio Castroneves,5,2,Percent,24.5%-24.9%,24.5,24.9,0.4,0.004
Mel B,5,2,Percent,17.9%-18.0%,17.9,18,0.1,0.001
Wayne Newton,5,2,Percent,5.7%-5.8%,5.7,5.8,0.1,0.001
Marie Osmond,5,2,Percent,13.3%-13.5%,13.3,13.5,0.2,0.002
Mark Cuban,5,2,Percent,8.2%-8.3%,8.2,8.3,0.1,0.001
Cameron Mathison,5,3,Percent,3.0%-3.1%,3,3.1,0.1,0.001
Jane Seymour,5,3,Percent,13.2%-13.3%,13.2,13.3,0.1,0.001
Sabrina Bryan,5,3,Percent,11.8%-11.9%,11.8,11.9,0.1,0.001
Jennie Garth,5,3,Percent,8.6%-8.7%,8.6,8.7,0.1,0.001
Floyd Mayweather Jr. ,5,3,Percent,0.9%-1.0%,0.9,1,0.1,0.001
Helio Castroneves,5,3,Percent,10.2%-10.3%,10.2,10.3,0.1,0.001
